"","DrugBank Compound (Name, ID)","Similarity to ","Link"
"1","N-(5-chloro-1,3-benzodioxol-4-yl)-6-methoxy-7-(3-piperidin-1-ylpropoxy)quinazolin-4-amine (DB07249)","0.9767","http://www.drugbank.ca/drugs/DB07249"
"2","Doxazosin (DB00590)","0.9737","http://www.drugbank.ca/drugs/DB00590"
"3","MLN-518 (DB05465)","0.9649","http://www.drugbank.ca/drugs/DB05465"
"4","Bosutinib (DB06616)","0.9617","http://www.drugbank.ca/drugs/DB06616"
"5","Gefitinib (DB00317)","0.9614","http://www.drugbank.ca/drugs/DB00317"
"6","Terazosin (DB01162)","0.9539","http://www.drugbank.ca/drugs/DB01162"
"7","Alfuzosin (DB00346)","0.9504","http://www.drugbank.ca/drugs/DB00346"
"8","(3S)-1-(1,3-BENZODIOXOL-5-YLMETHYL)-3-[4-(1H-IMIDAZOL-1-YL)PHENOXY]PIPERIDINE (DB07011)","0.9481","http://www.drugbank.ca/drugs/DB07011"
"9","Cisapride (DB00604)","0.9437","http://www.drugbank.ca/drugs/DB00604"
"10","CI-1033 (DB05424)","0.9420","http://www.drugbank.ca/drugs/DB05424"
"11","Vandetanib (DB05294)","0.9396","http://www.drugbank.ca/drugs/DB05294"
"12","Ketoconazole (DB01026)","0.9373","http://www.drugbank.ca/drugs/DB01026"
"13","Ranolazine (DB00243)","0.9351","http://www.drugbank.ca/drugs/DB00243"
"14","Afatinib (DB08916)","0.9351","http://www.drugbank.ca/drugs/DB08916"
"15","Terconazole (DB00251)","0.9305","http://www.drugbank.ca/drugs/DB00251"
"16","Prazosin (DB00457)","0.9300","http://www.drugbank.ca/drugs/DB00457"
"17","4-BROMO-2-FLUORO-N-[(4E)-6-METHOXY-7-[(1-METHYLPIPERIDIN-4-YL)METHOXY]QUINAZOLIN-4(1H)-YLIDENE]ANILINE (DB08764)","0.9279","http://www.drugbank.ca/drugs/DB08764"
"18","6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-4-(3-METHOXYPROPYL)-2,2-DIMETHYL-2H-1,4-BENZOXAZIN-3(4H)-ONE (DB07174)","0.9275","http://www.drugbank.ca/drugs/DB07174"
"19","N'-(5-CHLORO-1,3-BENZODIOXOL-4-YL)-N-(3-MORPHOLIN-4-YLPHENYL)PYRIMIDINE-2,4-DIAMINE (DB07255)","0.9264","http://www.drugbank.ca/drugs/DB07255"
"20","Trimethobenzamide (DB00662)","0.9224","http://www.drugbank.ca/drugs/DB00662"
"21","4-(2-aminoethoxy)-N-(3-chloro-2-ethoxy-5-piperidin-1-ylphenyl)-3,5-dimethylbenzamide (DB07626)","0.9148","http://www.drugbank.ca/drugs/DB07626"
"22","6-({5-fluoro-2-[(3,4,5-trimethoxyphenyl)amino]pyrimidin-4-yl}amino)-2,2-dimethyl-2H-pyrido[3,2-b][1,4]oxazin-3(4H)-one (DB07159)","0.9146","http://www.drugbank.ca/drugs/DB07159"
"23","5-{[1-(2,3-dichlorobenzyl)piperidin-4-yl]methoxy}quinazoline-2,4-diamine (DB07643)","0.9145","http://www.drugbank.ca/drugs/DB07643"
"24","5-{[1-(2-fluorobenzyl)piperidin-4-yl]methoxy}quinazoline-2,4-diamine (DB07642)","0.9133","http://www.drugbank.ca/drugs/DB07642"
"25","Etonitazene (DB01462)","0.9130","http://www.drugbank.ca/drugs/DB01462"
"26","Aripiprazole (DB01238)","0.9127","http://www.drugbank.ca/drugs/DB01238"
"27","Tadalafil (DB00820)","0.9121","http://www.drugbank.ca/drugs/DB00820"
"28","(2S)-2-ETHOXY-3-{4-[2-(10H-PHENOXAZIN-10-YL)ETHOXY]PHENYL}PROPANOIC ACID (DB07675)","0.9120","http://www.drugbank.ca/drugs/DB07675"
"29","Erlotinib (DB00530)","0.9117","http://www.drugbank.ca/drugs/DB00530"
"30","Nefazodone (DB01149)","0.9102","http://www.drugbank.ca/drugs/DB01149"
"31","(2R)-({4-[AMINO(IMINO)METHYL]PHENYL}AMINO){5-ETHOXY-2-FLUORO-3-[(3R)-TETRAHYDROFURAN-3-YLOXY]PHENYL}ACETICACID (DB04590)","0.9100","http://www.drugbank.ca/drugs/DB04590"
"32","2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine (DB02104)","0.9089","http://www.drugbank.ca/drugs/DB02104"
"33","Compound 4-D (DB03742)","0.9081","http://www.drugbank.ca/drugs/DB03742"
"34","2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE (DB07460)","0.9058","http://www.drugbank.ca/drugs/DB07460"
"35","N-Naphthalen-1-Ylmethyl-2'-[3,5-Dimethoxybenzamido]-2'-Deoxy-Adenosine (DB03331)","0.9053","http://www.drugbank.ca/drugs/DB03331"
"36","Merimepodib (DB04862)","0.9052","http://www.drugbank.ca/drugs/DB04862"
"37","Quinacrine (DB01103)","0.9044","http://www.drugbank.ca/drugs/DB01103"
"38","N-[4-CHLORO-3-(PYRIDIN-3-YLOXYMETHYL)-PHENYL]-3-FLUORO- (DB08068)","0.9040","http://www.drugbank.ca/drugs/DB08068"
"39","(2R)-1-[4-({4-[(2,5-DICHLOROPHENYL)AMINO]PYRIMIDIN-2-YL}AMINO)PHENOXY]-3-(DIMETHYLAMINO)PROPAN-2-OL (DB07750)","0.9039","http://www.drugbank.ca/drugs/DB07750"
"40","(2S)-1-[4-({4-[(2,5-DICHLOROPHENYL)AMINO]PYRIMIDIN-2-YL}AMINO)PHENOXY]-3-(DIMETHYLAMINO)PROPAN-2-OL (DB07755)","0.9039","http://www.drugbank.ca/drugs/DB07755"
"41","Tubocurarine (DB01199)","0.9037","http://www.drugbank.ca/drugs/DB01199"
"42","3-(2-CHLOROPHENYL)-1-(2-{[(1S)-2-HYDROXY-1,2-DIMETHYLPROPYL]AMINO}PYRIMIDIN-4-YL)-1-(4-METHOXYPHENYL)UREA (DB08095)","0.9034","http://www.drugbank.ca/drugs/DB08095"
"43","Cis-[4,5-Bis-(4-Chlorophenyl)-2-(2-Isopropoxy-4-Methoxyphenyl)-4,5-Dihyd Roimidazol-1-Yl]-Piperazin-1-Yl-Methanone (DB04144)","0.9029","http://www.drugbank.ca/drugs/DB04144"
"44","(4r,5s,6s,7r)-1,3-Dibenzyl-4,7-Bis(Phenoxymethyl)-5,6-Dihydroxy-1,3 Diazepan-2-One (DB01732)","0.9028","http://www.drugbank.ca/drugs/DB01732"
"45","(2S)-1-{4-[(4-ANILINO-5-BROMOPYRIMIDIN-2-YL)AMINO]PHENOXY}-3-(DIMETHYLAMINO)PROPAN-2-OL (DB07501)","0.9020","http://www.drugbank.ca/drugs/DB07501"
"46","(2R)-1-{4-[(4-ANILINO-5-BROMOPYRIMIDIN-2-YL)AMINO]PHENOXY}-3-(DIMETHYLAMINO)PROPAN-2-OL (DB07504)","0.9020","http://www.drugbank.ca/drugs/DB07504"
"47","Silodosin (DB06207)","0.9018","http://www.drugbank.ca/drugs/DB06207"
"48","1-(5-Tert-Butyl-2-P-Tolyl-2h-Pyrazol-3-Yl)-3-[4-(2-Morpholin-4-Yl-Ethoxy)-Naphthalen-1-Yl]-Urea (DB03044)","0.9018","http://www.drugbank.ca/drugs/DB03044"
"49","Bopindolol (DB08807)","0.9014","http://www.drugbank.ca/drugs/DB08807"
"50","(2S)-6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-2-(3,5-DIFLUOROPHENYL)-4-(3-METHOXYPROPYL)-2H-1,4-BENZOXAZIN-3(4H)-ONE (DB07113)","0.9010","http://www.drugbank.ca/drugs/DB07113"
"51","N-(Allyloxycarbonyl)-4-[N-(Carboxy-Formyl)-2-(Benzoic Acid)-Amino]-L-Phenylalaninyl-Amino-Butyloxy-(6-Hydroxy-Benzoic Acid Methyl Ester) (DB04088)","0.9006","http://www.drugbank.ca/drugs/DB04088"
"52","Trimetrexate (DB01157)","0.8999","http://www.drugbank.ca/drugs/DB01157"
"53","N'-(5-CHLORO-1,3-BENZODIOXOL-4-YL)-N-(3,4,5- TRIMETHOXYPHENYL)PYRIMIDINE-2,4-DIAMINE (DB07250)","0.8996","http://www.drugbank.ca/drugs/DB07250"
"54","N-(1-ISOPROPYLPIPERIDIN-4-YL)-1-(3-METHOXYBENZYL)-1H-INDOLE-2-CARBOXAMIDE (DB07973)","0.8978","http://www.drugbank.ca/drugs/DB07973"
"55","N-1,2,3,4-Tetrahydronaphth-1-Yl-2'-[3,5-Dimethoxybenzamido]-2'-Deoxy-Adenosine (DB04477)","0.8976","http://www.drugbank.ca/drugs/DB04477"
"56","Cis-[4,5-Bis-(4-Bromophenyl)-2-(2-Ethoxy-4-Methoxyphenyl)-4,5-Dihydroimidazol-1-Yl]-[4-(2-Hydroxyethyl)Piperazin-1-Yl]Methanone (DB02872)","0.8973","http://www.drugbank.ca/drugs/DB02872"
"57","Moexipril (DB00691)","0.8972","http://www.drugbank.ca/drugs/DB00691"
"58","2-Phenyl-1-[4-(2-Piperidin-1-Yl-Ethoxy)-Phenyl]-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol (DB04471)","0.8963","http://www.drugbank.ca/drugs/DB04471"
"59","Iloperidone (DB04946)","0.8955","http://www.drugbank.ca/drugs/DB04946"
"60","4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol (DB07601)","0.8950","http://www.drugbank.ca/drugs/DB07601"
"61","5-(4-PHENOXYPHENYL)-5-(4-PYRIMIDIN-2-YLPIPERAZIN-1-YL)PYRIMIDINE-2,4,6(2H,3H)-TRIONE (DB07117)","0.8932","http://www.drugbank.ca/drugs/DB07117"
"62","(2S)-1-[4-({6-[(2,6-DIFLUOROPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)PHENOXY]-3-(DIMETHYLAMINO)PROPAN-2-OL (DB07751)","0.8915","http://www.drugbank.ca/drugs/DB07751"
"63","(2R)-1-[4-({6-[(2,6-DIFLUOROPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)PHENOXY]-3-(DIMETHYLAMINO)PROPAN-2-OL (DB07761)","0.8915","http://www.drugbank.ca/drugs/DB07761"
"64","Moricizine (DB00680)","0.8914","http://www.drugbank.ca/drugs/DB00680"
"65","Astemizole (DB00637)","0.8907","http://www.drugbank.ca/drugs/DB00637"
"66","Dabigatran etexilate (DB06695)","0.8906","http://www.drugbank.ca/drugs/DB06695"
"67","Drotaverine (DB06751)","0.8906","http://www.drugbank.ca/drugs/DB06751"
"68","(2R,4R)-N~1~-(4-CHLOROPHENYL)-N~2~-[2-FLUORO-4-(2-OXOPYRIDIN-1(2H)-YL)PHENYL]-4-METHOXYPYRROLIDINE-1,2-DICARBOXAMIDE (DB06920)","0.8898","http://www.drugbank.ca/drugs/DB06920"
"69","A-98881 (DB02804)","0.8895","http://www.drugbank.ca/drugs/DB02804"
"70","4-[4-(1-Amino-1-Methylethyl)Phenyl]-5-Chloro-N-[4-(2-Morpholin-4-Ylethyl)Phenyl]Pyrimidin-2-Amine (DB02491)","0.8885","http://www.drugbank.ca/drugs/DB02491"
"71","4-(2-aminoethoxy)-N-(3-chloro-5-piperidin-1-ylphenyl)-3,5-dimethylbenzamide (DB08697)","0.8879","http://www.drugbank.ca/drugs/DB08697"
"72","4-CHLORO-6-(4-{4-[4-(METHYLSULFONYL)BENZYL]PIPERAZIN-1-YL}-1H-PYRAZOL-5-YL)BENZENE-1,3-DIOL (DB06957)","0.8876","http://www.drugbank.ca/drugs/DB06957"
"73","1-Acetyl-4-(4-{4-[(2-Ethoxyphenyl)Thio]-3-Nitrophenyl}Pyridin-2-Yl)Piperazine (DB02177)","0.8867","http://www.drugbank.ca/drugs/DB02177"
