Observations,KMS_11,BT_20,BT_474,BT_549,CAL_120,CAL_148,CAL_51,CAMA_1,DU_4475,EVSA_T,HCC1143,HCC1187,HCC1395,HCC1419,HCC1428,HCC1500,HCC1569,HCC1806,HCC1937,HCC1954,HCC38,HCC70,Hs_578_T,MCF7,MDA_MB_157,MDA_MB_175_VII,MDA_MB_231,MDA_MB_361,MDA_MB_415,MDA_MB_436,MDA_MB_453,MDA_MB_468,MFM_223,T47D,UACC_812,COLO_205,HCT_116,HT_29,LS_513,NCI_H747,RKO,SW48,SW620,SW837,SW948,KATOIII,NCI_SNU_16,A549,Calu_3,Calu_6,DMS_114,NCI_H1299,NCI_H1437,NCI_H1563,NCI_H1703,NCI_H1793,NCI_H1975,NCI_H2085,NCI_H2170,NCI_H2228,NCI_H226,NCI_H2291,NCI_H23,NCI_H3122,NCI_H358,NCI_H520,NCI_H522,NCI_H838,SW900,x22RV1,VCaP,C32,M14,x647_V,BFTC_905,HT_1197,HT_1376,J82,KU_19_19,RT4,SW780,T_24,TCCSUP,UM_UC_3,VM_CUB_1
ADAM17,0.375285611469762,0,0.230786754682944,0.792327182,0.6041199948,0.3547973076,0.1115084267,0.0435688537,0.0007495373,1.77801499635691,0.6702537454,0.2195251432,0.4780606311,0.329030585220855,0.5059933862,0.0496045883299975,1.1873480262303,0.6339963528,0.4152955424,0,0.8560681542,0.1744189655,0.5167335823,0.173142631354876,0.3376023053,0.463841655717836,0.161590358,0.326283248522391,0.360467805296689,0.757680796,0.130986261,0.2521283178,0.4011335669,0.581104939188049,0.709192814971811,0.152084500343135,0.423255719298509,0.487891665126979,0.322976061472717,0.0616056115633736,0.443522825688374,0.339847596349458,0.907628443714641,0.265471707402994,0.310632253654635,0.400332800575341,0.0998604498109593,0.1013679518,0.1840037269,0.262303940568044,0,0.1175397557,0.126645606117306,0.0998606706769832,0.300237820232434,0.0543699364,0.110603869,0.0585805867,0.1498395163,0.0320599527034565,0.0591503619909579,0.278917168791438,0.0230558554,0.122114644593055,0.272718253327284,0.229387506,0.0657813391439456,0,0.1932602658,3.93708641403794,1.40277302793134,0.145553826075481,0.3629259006,0.0809151543113941,0.0713238286938935,0.166095932185771,0.119862818603886,0.0648240757292432,0.240523305524857,0.35660457329087,0.112668912047381,0.238565877482136,0.203840663726775,0.205069918839308,0.235776651929135
AKT,0.2820176098,0.057355837,0.2404803766,0.1178717489,0.4131208273,0.0349563932,0.6135838442,0.2308349452,0,1,0.5579939896,0.131812083,0.4339935407,0.184532825,0.3829942399,0.7169906182,0.3292658547,0.017263344,0.6159966185,0.2303683122,0.1132155865,0,0.3779926902,0.0962327807,0.1550519469,0.4134014977,0.7488281992,1,0.156181404,0.78722487,0,0.0299895356,0,0.9200317472,0.757725,0.200054903105067,0.273170230455238,0.390366030886927,0.135267856275718,0.347404644834446,0.185480480578242,0.266697510356713,0.194256008400425,0.236045586956543,0.174210968612594,0.215755113761994,0.12214746487866,0.152553785879964,0.0300001367,0,0.1372056572,0.151183931979508,0.1312352278,0.166038245280776,0.1133381982,0.0502876153,0.135854347727937,0.0310995756,0.124721192930313,0,0,0.310207921375215,0.0559894814,0.050499755915354,0.212711729831505,0,0.0734964368,0.166266208109097,0.0501240455027173,0.4980021686,0.7734244917,0.100517578475124,0.8393705267,0.4982420243,0,0.1850990044,0.3595241359,0,0,0.139151009824711,0,0.0769795337,0,0,0.5494004733
AKT_1,0.0726874571804159,0.6545445023,0.1036992065,0.2347058745,0.7769969143,0.4090774704,0,0.076444549,0,0,0.3158319253,0.1476174484,0.407991623,0.6789885187,0.9042501465,1,0.2909775432,0.0897168521,0.7087526634,0.0368825621,0,0.0260818403,0.537753989,0,0.5282954956,0.0276914167,0.7474082131,0.7719299027,1,0.6899143067,0,0.5808535914,0.0359609066,0.1096644946,0.3770882956,0.200054903105067,0.273170230455238,0.390366030886927,0.135267856275718,0.347404644834446,0.185480480578242,0.266697510356713,0.194256008400425,0.236045586956543,0.174210968612594,0.215755113761994,0.12214746487866,0.152553785879964,0.132051089656698,0.152070282022182,0.0638484746112253,0.151183931979508,0.067490795963947,0.166038245280776,0.0437385826147524,0.060296086077076,0.135854347727937,0.0475620018769036,0.124721192930313,0.0221030717240426,0.0296290739195035,0.310207921375215,0.0376245798125333,0.050499755915354,0.212711729831505,0.132857669962701,0.0853579265631777,0.166266208109097,0.0501240455027173,0.4980021686,0.700170166305735,0.100517578475124,0.1498180494,0.215739540189511,0.0137921342450482,0.187665995936237,0.182428089574985,0.110911959788789,0.0465481496844814,0.139151009824711,0.116923035308934,0.0850149481283519,0.0915545633999852,0.0776085407456025,0.237306978833953
AKT_PIK3C,0.0912171405398535,0.0790662847325799,0.0953641276450924,0.06490385044993,0.123608984040701,0.0517709962105676,0.0960579489978541,0.0597175982816937,0.0265327357421669,0.168418859098026,0.0868007747127877,0.0621483209953788,0.0663971705482593,0.139772560842717,0.107938868563844,0.192713269875929,0.128513351837097,0.0354560383340415,0.126897576624469,0.10149700679923,0.0851092763665439,0.0239557638384858,0.101143183945744,0.101783889809821,0.0742436818935291,0.197923950810087,0.11888390714411,0.219086731721711,0.217059001949512,0.113940877908345,0.0287528611782135,0.0751587823814422,0.0305238830441848,0.13552798625632,0.235903590319351,0.0935361486222583,0.188993811151662,0.190698050060353,0.0825256423432679,0.158483557177335,0.227177625980032,0.223846073872258,0.128466159999858,0.150468444536927,0.143294394247781,0.19001965868547,0.103200804983487,0.153895728950087,0.143512797404217,0.156894048572233,0.048670964127013,0.0969755323454658,0.048316406100231,0.0484502764536186,0.0467422734741334,0.0483400418081672,0.0598448695836986,0.0379163576227542,0.0967836360802684,0.0233470831589955,0.0275955752406893,0.234295814147688,0.0806883761412734,0.0329638698549013,0.107411793409001,0.123778135648328,0.0538702365255641,0.115467918252766,0.032647774525261,0.649968317730889,0.524903446417329,0.0746293394434979,0.0700467143784288,0.165875958436933,0.0151336171051284,0.170122851553549,0.180457130455624,0.154199424836371,0.0560715769219658,0.163965802272923,0.136145625676879,0.0937630371381497,0.116878364755407,0.093778491092627,0.203488921911858
AKT_SGK,0.0842362439363181,0.4951957963,0.0837203020553292,0.6440921662,0.4829475543,0.8776962574,0.9006982161,0.8055039541,0.9117493767,0.176339595249264,0.5839962913,1,0.5038673312,0.158742756356221,0.026446249,0.246140571173988,0.123087757303258,0.2089943021,0.4492745112,0.0916900905916151,0.8070155308,0,0.3963518854,0.102895977151206,0.9380832502,0.187059125346223,0.7052960912,0.251848886155198,0.23684983296519,0.8819993932,0.2768531203,0.3660540618,0.4896871506,0.169712085741466,0.257086860809149,0.259405019033537,0.315947560062953,0.53718026363745,0.22724416141988,0.406794891272646,0.236261104805489,0.298440715675586,0.244381044005262,0.267432038088713,0.208976143596471,0.24464650359143,0.12965931929354,0.215402451555124,0.18261489675708,0.173150771651696,0.0655949458881992,0.154791629122522,0.054327059974036,0.135935441925707,0.0458265131292977,0.0636271006509268,0.108805300648286,0.0438291917365596,0.125658960946421,0.019131451294464,0.0295202630763083,0.375477469001756,0.0518727303340582,0.0345449644322975,0.184096095974604,0.147983668969849,0.0762771407082104,0.122032928677012,0.0547750849334317,0.587554839929957,0.675152493021574,0.11226136692136,0.0760840416,0.229196635476319,0.0129838148271677,0.185449334543458,0.21103060080986,0.141648111382266,0.0487967617449482,0.155569935701829,0.147293849469879,0.07997103447766,0.0979128983539229,0.104372940782832,0.247565475943416
ALK,0.0822169578703948,0.0542367132635066,0.0838880926213764,0.0367039094413901,0.0821456672387686,0.019281008051731,0.0603804218129213,0.0249408257583155,0.00299356424097217,0.272289270898736,0.056454436293842,0.0340429882608482,0.0377848109306317,0.0918580497755069,0.0695899635380181,0.000382409486857737,0.189318443750871,0.0325298346583094,0.093826587743273,0.101019764401755,0.0793249584315484,0.0349366832241462,0.0798982313110772,0.114956316631765,0.0389470558060973,0.228363705151209,0.0492244135818003,0.104152346947761,0.175968326210289,0.0710294174164279,0.0157241068262019,0.042879815891713,0.0126528755331283,0.117373019842329,0.197423883996366,0.0411282443694092,0.111174264402601,0.0826489824025834,0.0498367345592648,0.0727974531163813,0.136730458866752,0.11965393710681,0.0850239562190659,0.0674378844505602,0.0675561491478061,0.047335194249095,0.00378158565661593,1,0.8023352681,0.0637976753,0.1358934894,0.0450248018,0.0849421375,0.1763737468,0.114457309,0.0728928245,0,0,0.1434414943,0,0,0.135307461151817,0.1130442849,0,0.1819869009,0.2423661794,0.1295598574,0.1185898272,0.1775256089,1.04452144623288,0.15789939157753,0.0468700065323535,0.0516038785798049,0.0305799014022794,0.00072103089783633,0.0985303553638648,0.122276904913077,0.109073124917974,0.0790763972533328,0.0950535058835465,0.093547365880997,0.113477877082634,0.164101070893464,0.107030890145593,0.117411208595976
ALK_2,0.0822169578703948,0.0542367132635066,0.0838880926213764,0.0367039094413901,0.0821456672387686,0.019281008051731,0.0603804218129213,0.0249408257583155,0.00299356424097217,0.272289270898736,0.056454436293842,0.0340429882608482,0.0377848109306317,0.0918580497755069,0.0695899635380181,0.000382409486857737,0.189318443750871,0.0325298346583094,0.093826587743273,0.101019764401755,0.0793249584315484,0.0349366832241462,0.0798982313110772,0.114956316631765,0.0389470558060973,0.228363705151209,0.0492244135818003,0.104152346947761,0.175968326210289,0.0710294174164279,0.0157241068262019,0.042879815891713,0.0126528755331283,0.117373019842329,0.197423883996366,0.0411282443694092,0.111174264402601,0.0826489824025834,0.0498367345592648,0.0727974531163813,0.136730458866752,0.11965393710681,0.0850239562190659,0.0674378844505602,0.0675561491478061,0.047335194249095,0.00378158565661593,0.6732208779,0.9457500091,1,0.1346420434,0.2487384617,0,0.0672322899,0,0,0.1658057678,0.1981521485,0,0.0731166016,0.0893932727,0.135307461151817,0.2323680521,0.2861402444,0.1922887087,0.1738050997,0.3431823245,0,0.222224148,1.04452144623288,0.15789939157753,0.0468700065323535,0.0516038785798049,0.0305799014022794,0.00072103089783633,0.0985303553638648,0.122276904913077,0.109073124917974,0.0790763972533328,0.0950535058835465,0.093547365880997,0.113477877082634,0.164101070893464,0.107030890145593,0.117411208595976
ALK_IGFR,0.0611052358601443,0.8669983407,0.0834091733684135,0,0.7469935051,0,0.0733100615,0.0766885705,0,0.275324648844833,0.450818772,0.1189900183,0.4703922188,0.0941319233095709,0.9481546743,0.00325956559028133,0.184869549998201,0,0.0886328185749787,0.12172799213428,0.6481282718,0,0.2264324249,0.114721670989227,0.8546872771,0.227616183825138,0,0.110605415129035,0.178631075133463,0.2377975696,0,0.5419907802,0.0125894576416971,0.130146819997881,0.214377797844277,0.0560754502206577,0.117218335675041,0.0905357240549716,0.0587308299454846,0.092105184796318,0.132304592398661,0.125974604475746,0.0870782745743466,0.0710590241687808,0.0724912667782129,0.0486923072048415,0.00963477464641155,0.0888604249821252,0.0894991460216133,0.102551617853213,0.0182911390352226,0.0433303934084935,0.0171100052783205,0.0137061732884996,0.0279659058190139,0.0313809985437172,0.0155459847792076,0.0252344055211299,0.0384772149840558,0.0116312572159066,0.0183703790718808,0.14307843994988,0.0818331276605517,0.0117377050926732,0.0501850057515204,0.0745498569191343,0.0254576164004749,0.033527851003871,0.0161151599841331,1.08589242894459,0.155951436590881,0.0425668509225294,0.1842631533,0.0331177767015578,0.000616810131349822,0.091331769715935,0.113305400117139,0.123800462332956,0.0710716700574659,0.0843850211053574,0.0946082518086087,0.0971965443269455,0.144516361500652,0.101272308848837,0.105020528030186
AR,0.645146425113301,0.243756915450745,0.109444385160994,0.294392265439726,0.323640759280002,0.186422198242418,0.310303513953693,0.146647515431692,0.0951998887024359,0.083981741958382,0.421091634212526,0.14246850527825,0.136535746846218,0.831044834096703,0.588763580122339,0.211751899107696,0.111091398995683,0.505960175178078,0.460783252267512,0.161332203346741,0.350923242142007,0.247470595886763,0.159527517690052,0.172623345643926,0.350128864328614,0.267990533331778,0.445589492526421,0.244784560338303,0.330794186211501,0.292009023630713,0.148516543508623,0.168374065963206,0.0713456242786216,0.45775659386782,0.518038772533468,1.20819119172915,1.52357301559695,5.9396522789058,8.41274260754539,0.174526668552115,2.26215738894086,2.04066466918347,5.76898442068022,4.2517015275355,1.83921079615688,15.4317502410697,0.562772445252182,0.174660606298192,0.257876889572695,0.233338726070165,0.166964230441135,0.571326583543085,0.191728166978277,0.0480234342942665,0.156256909481972,0.166766742010329,0.315076269431311,0.00870506729923977,0.15060315267938,0.215319806288717,0.0166684566501684,0.232975087036835,0.103031507187097,0.223729887626202,0.57590704162297,0.240275964101822,0.179090274591104,0.135968575024085,0.37927832408102,10.84304460971,16.8398388491382,0.376452033565048,0.273860367301127,0.251188243337372,0.257667496071612,0.658806335881227,0.200840211334703,0.208253395019641,0.439854888022178,3.53656636707075,0.340770455358642,0.361764204105792,0.355007515644463,0.299451731330412,0.413860998374177
AR_1,0.645146425113301,0.243756915450745,0.109444385160994,0.294392265439726,0.323640759280002,0.186422198242418,0.310303513953693,0.146647515431692,0.0951998887024359,0.083981741958382,0.421091634212526,0.14246850527825,0.136535746846218,0.831044834096703,0.588763580122339,0.211751899107696,0.111091398995683,0.505960175178078,0.460783252267512,0.161332203346741,0.350923242142007,0.247470595886763,0.159527517690052,0.172623345643926,0.350128864328614,0.267990533331778,0.445589492526421,0.244784560338303,0.330794186211501,0.292009023630713,0.148516543508623,0.168374065963206,0.0713456242786216,0.45775659386782,0.518038772533468,1.20819119172915,1.52357301559695,5.9396522789058,8.41274260754539,0.174526668552115,2.26215738894086,2.04066466918347,5.76898442068022,4.2517015275355,1.83921079615688,15.4317502410697,0.562772445252182,0.174660606298192,0.257876889572695,0.233338726070165,0.166964230441135,0.571326583543085,0.191728166978277,0.0480234342942665,0.156256909481972,0.166766742010329,0.315076269431311,0.00870506729923977,0.15060315267938,0.215319806288717,0.0166684566501684,0.232975087036835,0.103031507187097,0.223729887626202,0.57590704162297,0.240275964101822,0.179090274591104,0.135968575024085,0.37927832408102,10.84304460971,16.8398388491382,0.376452033565048,0.273860367301127,0.251188243337372,0.257667496071612,0.658806335881227,0.200840211334703,0.208253395019641,0.439854888022178,3.53656636707075,0.340770455358642,0.361764204105792,0.355007515644463,0.299451731330412,0.413860998374177
