Min_Syn	Median_Syn	Avg_Syn	Max_Syn	MW	cLogP	Lipinski
-1.4701	-0.22291	-0.039235	1.1438	-0.41946	-1.0079	0
-0.12556	0.28971	0.52523	1.3709	-0.73223	0.048728	0
-0.040131	1.0529	0.67063	-0.18296	1.0888	0.38213	1
0.8225	0.51103	1.0505	0.51596	-0.12569	0.47959	0
1.1737	0.25333	0.51943	-1.0991	1.3168	0.58217	1
0.0849	-1.8415	-1.5619	-0.032783	-0.65915	-1.3105	0
-2.7732	0.50717	-0.6325	0.24366	7.5562	4.742	3
-0.0072005	-0.30049	-0.1165	0.78078	7.1308	3.3212	3
0.23214	2.0898	1.722	1.2379	2.8383	-0.048728	1
0.0072005	-2.7988	-2.6335	-0.64643	0.59777	-0.54627	0
0.96241	-0.88917	-0.28833	-1.0763	-1.292	-2.8134	0
0.35976	-1.4415	-1.1004	-0.92429	-1.3914	-0.017952	0
0.64358	0.057902	0.34197	0.3649	-0.55685	-0.52575	0
0.84771	1.5895	1.4342	-0.38585	1.2555	-1.449	3
0.70542	-0.13079	0.3167	0.71662	0.41362	0.68989	0
0.77198	0.092443	0.65259	-0.12781	-0.15638	1.2592	1
-1.3312	-0.18028	-0.053436	3.6824	0.23823	0.70015	0
0.57126	-0.29075	-0.50151	-0.65997	0.073077	0.8489	0
-1.4701	-0.77602	-0.87803	3.6824	0.087692	0.65911	0
0.64358	-0.64712	-0.67837	-1.0991	-2.8412	-1.9773	0
-4.6474	-0.77934	-3.0292	0.032783	-0.52762	0.43855	0
-2.0942	-0.13096	-4.5275	-0.55342	0.722	0.5873	1
-0.46079	-1.8516	-3.1698	-1.8047	-1.5902	-0.58217	0
-4.6474	0.45555	-0.017262	1.5571	0.0014615	0.377	0
0.33797	2.1614	2.4609	0.81108	2.3063	0.94122	1
-0.46079	-2.6183	-4.2754	-1.9088	0.11692	-0.28467	0
-0.13143	-0.31242	-0.24786	0.095109	0.073077	-0.34623	0
-0.35756	1.2521	-0.33249	-0.28684	-5.0189	-1.9312	0
-2.521	-0.3037	0.48376	27.9909	-0.33762	-0.97713	0
-1.9013	0.48238	0.27117	0.30588	0.81846	-0.26416	1
0.99321	-0.46554	0.017262	-0.71094	-0.68985	-0.80273	0
0.63487	-0.43916	-0.40471	-0.68903	-0.23531	-0.52062	0
-0.093154	0.087406	0.035014	0.51596	-0.0014615	-0.75657	0
-0.41589	1.3994	0.95005	0.78399	-1.1415	0.017952	0
-2.4289	1.1287	48.9784	165.567	-0.77754	0.5873	0
0.73466	1.8192	1.1518	-0.59334	-0.95292	-0.60269	0
0.76775	-0.70188	0.23023	-0.27443	0.18854	0.5001	1
-3.416	1.7978	-2.0671	-0.069281	0.26015	1.3823	1
0.48533	1.757	1.3555	0.39884	-0.64454	1.1772	1
0.22826	2.4942	1.9633	0.78399	1.9146	-1.5978	2
0.85184	0.8735	0.83382	-0.63612	-0.52762	-1.2387	0
-0.029527	-0.057902	-0.7361	-0.29025	4.6959	1.4336	3
