ChallengeName	MoA	Target	ChemBL	PubChem	HBA	cLogP	HBD	Lipinski	MW
ADAM17		ADAM17							
AKT		AKT1;AKT2;AKT3		57519543	8	1.18	5	0	428.9
AKT_1		AKT1;AKT2;AKT3	CHEMBL1079175	58423153	6	3.24	3	0	407.5
AKT_PIK3C		AKT1;AKT2;AKT3;PRKCA;PRKCB							
AKT_SGK		AKT1;AKT2;AKT3;SGK1							
ALK		ALK		56599293	8	3.89	2	1	532.1
ALK_2		ALK							
ALK_IGFR		ALK;IGF1R;IGF2R;PIK3C2A;PIK3C2B;PIK3C2G;PIK3C3;PIK3CA;PIK3CB;PIK3CD;PIK3R6;PIK3R1;PIK3R2;PIK3R3;PIK3R4;PIK3R5;PIK3CG		17755052	7	4.08	4	0	449
AR		AR		44199317	6	3.35	1	0	464.4
AR_1		AR	CHEMBL3103192	56946894	9	2.38	0	1	519.6
ATM		ATM	CHEMBL2140173	46244454	8	4.28	1	1	547.7
ATR_1		ATR			7	0.44	1	0	398.5
ATR_2		ATR		54761306	7	0.96	1	0	412.5
ATR_3		ATR							
ATR_4		ATR		68592449	8	0.59	2	0	412.5
Azacytidine	ANTIMETABOLITE	DNMT1;DNMT3A;DNMT3B;DCK;CDKN2A;CDKN2B;MGMT	CHEMBL1489	9444					
BCL2		BCL2		1691	11	12.39	2	3	974.6
BCL2_2		BCL2							
BCL2_3		BCL2							
BCL2_BCL2L1		BCL2;BCL2L1	CHEMBL217092	10302451	11	9.62	4	3	945.5
BCL2_BCL2L1_BCL2L2		BCL2;BCL2L1;BCL2L2							
BCL2L1		BCL2L1		56655374	9	3.05	2	1	651.8
BIRC5		BIRC5							
BRAF_2		BRAF							
BRAF_M		BRAF		86661883	8	2.08	4	0	498.5
BRAF_M2		BRAF							
BRAF_VEGFR2		BRAF;VEGFR2;KDR							
Carboplatin	ALK	EGFR;SOD1;BRCA1;BCL2;SLC19A1;MTHFR;DSCAM;ENOSF1;ALDH1A1;ABCB1;ETS2;XRCC1;ALDH3A1;TIGD1;EIF4E2;CLCN6		17754438	6	-2.34	4	0	369.2
CarboTaxol	ALK	DCK;EGFR;ABCB1;AURKA;BIRC5;TLE3;PGP;TUBB3;TUBB1;BCL2;NR1I2;TLR4;TUBB;TOP2A;MAP4;MAPT;MAP2	CHEMBL428647	441276					
CD19		CD19							
CHEK1		CHEK1		25227436	6	3.11	5	0	362.4
CHK1		CHK1;CHEK1							
Chloroquine		TLR9;TNF;CYP2D6;CYP2C8;CYP3A4;ABCB1	CHEMBL7568	2719					
