#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
SLC29A1	gemcitabine	990413	-100003461	ENSP00000360773	3461	0	0	0	0	0	0	0.9	0.912	0.991
CYP2C8	paclitaxel	990331	-100004666	ENSP00000360317	4666	0	0	0	0	0	0	0.9	0.892	0.988
CYP2C8	chloroquine	990331	-100002719	ENSP00000360317	2719	0	0	0	0	0	0	0.8	0.117	0.818
TLR9	chloroquine	988913	-100002719	ENSP00000353874	2719	0	0	0	0	0	0	0.8	0.906	0.98
DNMT1	5-azacytidine	988697	-100001805	ENSP00000352516	1805	0	0	0	0	0	0	0.8	0.925	0.984
DCTD	gemcitabine	988240	-100003461	ENSP00000349576	3461	0	0	0	0	0	0	0.9	0.916	0.991
CYP3A4	paclitaxel	986634	-100004666	ENSP00000337915	4666	0	0	0	0	0	0	0.8	0.911	0.981
CYP3A4	chloroquine	986634	-100002719	ENSP00000337915	2719	0	0	0	0	0	0	0.8	0.126	0.819
DCK	paclitaxel	981000	-100004666	ENSP00000286648	4666	0	0	0	0	0	0	0	0.822	0.822
DCK	gemcitabine	981000	-100003461	ENSP00000286648	3461	0	0	0	0	0	0.9	0.9	0.979	0.999
DCK	5-azacytidine	981000	-100001805	ENSP00000286648	1805	0	0	0	0	0	0	0	0.911	0.911
EGFR	FOLFOX	980366	-156842121	ENSP00000275493	56842121	0	0	0	0	0	0	0.7	0.365	0.803
EGFR	carboplatin	980366	-100038904	ENSP00000275493	38904	0	0	0	0	0	0	0	0.593	0.593
EGFR	paclitaxel	980366	-100004666	ENSP00000275493	4666	0	0	0	0	0	0	0.7	0.957	0.986
EGFR	oxaliplatin	980366	-100004609	ENSP00000275493	4609	0	0	0	0	0	0	0.7	0.454	0.831
EGFR	gemcitabine	980366	-100003461	ENSP00000275493	3461	0	0	0	0	0	0	0.9	0.903	0.99
EGFR	cisplatin	980366	-100002767	ENSP00000275493	2767	0	0	0	0	0	0.493	0	0.903	0.949
SOD1	carboplatin	980033	-100038904	ENSP00000270142	38904	0	0	0	0	0	0	0.8	0	0.8
SOD1	oxaliplatin	980033	-100004609	ENSP00000270142	4609	0	0	0	0	0	0	0.8	0	0.8
SOD1	cisplatin	980033	-100002767	ENSP00000270142	2767	0	0	0	0	0	0.9	0.8	0.136	0.981
ABCB1	paclitaxel	979655	-100004666	ENSP00000265724	4666	0	0	0	0	0	0	0.8	0.963	0.992
ABCB1	gemcitabine	979655	-100003461	ENSP00000265724	3461	0	0	0	0	0	0	0.8	0.199	0.835
ABCB1	cisplatin	979655	-100002767	ENSP00000265724	2767	0	0	0	0	0	0	0.8	0.39	0.874
ABCB1	chloroquine	979655	-100002719	ENSP00000265724	2719	0	0	0	0	0	0	0.8	0.203	0.836
FOLFIRI	FOLFOX	-156842117	-156842121	56842117	56842121	0	0	0	0	0	0	0	0.83	0.83
carboplatin	FOLFOX	-100038904	-156842121	38904	56842121	0	0	0	0	0	0	0	0.483	0.482
paclitaxel	FOLFOX	-100004666	-156842121	4666	56842121	0	0	0	0	0	0	0	0.642	0.642
paclitaxel	FOLFIRI	-100004666	-156842117	4666	56842117	0	0	0	0	0	0	0	0.571	0.571
paclitaxel	carboplatin	-100004666	-100038904	4666	38904	0	0	0	0	0	0	0	0.996	0.996
oxaliplatin	FOLFOX	-100004609	-156842121	4609	56842121	0	0	0	0	0	0	0	0.932	0.932
oxaliplatin	FOLFIRI	-100004609	-156842117	4609	56842117	0	0	0	0	0	0	0	0.899	0.899
oxaliplatin	carboplatin	-100004609	-100038904	4609	38904	0	0	0	0	0	0	0	0.884	0.884
oxaliplatin	paclitaxel	-100004609	-100004666	4609	4666	0	0	0	0	0	0	0	0.927	0.927
gemcitabine	FOLFOX	-100003461	-156842121	3461	56842121	0	0	0	0	0	0	0	0.589	0.589
gemcitabine	FOLFIRI	-100003461	-156842117	3461	56842117	0	0	0	0	0	0	0	0.46	0.46
gemcitabine	carboplatin	-100003461	-100038904	3461	38904	0	0	0	0	0	0	0	0.929	0.929
gemcitabine	paclitaxel	-100003461	-100004666	3461	4666	0	0	0	0	0	0	0	0.985	0.985
gemcitabine	oxaliplatin	-100003461	-100004609	3461	4609	0	0	0	0	0	0	0	0.899	0.899
cisplatin	FOLFOX	-100002767	-156842121	2767	56842121	0	0	0	0	0	0	0	0.545	0.545
cisplatin	FOLFIRI	-100002767	-156842117	2767	56842117	0	0	0	0	0	0	0	0.485	0.485
cisplatin	carboplatin	-100002767	-100038904	2767	38904	0	0	0	0	0	0	0	0.986	0.986
cisplatin	paclitaxel	-100002767	-100004666	2767	4666	0	0	0	0	0	0	0	0.982	0.982
cisplatin	oxaliplatin	-100002767	-100004609	2767	4609	0	0	0	0	0	0	0	0.966	0.966
cisplatin	gemcitabine	-100002767	-100003461	2767	3461	0	0	0	0	0	0	0	0.936	0.936
5-azacytidine	carboplatin	-100001805	-100038904	1805	38904	0	0	0	0	0	0	0	0.439	0.439
5-azacytidine	gemcitabine	-100001805	-100003461	1805	3461	0	0	0	0	0	0	0	0.709	0.709
5-azacytidine	cisplatin	-100001805	-100002767	1805	2767	0	0	0	0	0	0	0	0.512	0.512
