#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
TOP1	irinotecan	989008	-100003750	ENSP00000354522	3750	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.960	0.997
doxorubicin	docetaxel	-100001690	-100003143	1690	3143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.998	0.998
EGFR	vinorelbine	980366	-100005672	ENSP00000275493	5672	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.898	0.898
temsirolimus	AZD8055	-100148191	-125001065	148191	25001065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.569	0.569
cisplatin	olaparib	-100002767	-123725625	2767	23725625	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.630	0.630
gemcitabine	bortezomib	-100003461	-100093860	3461	93860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.637	0.637
enzastaurin	everolimus	-100176166	-106442177	176166	6442177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.523	0.523
tamoxifen	4-hydroxytamox.	-100005376	-100063062	5376	63062	0.000	0.000	0.000	0.999	0.000	0.000	0.000	0.954	0.954
EGFR	crizotinib	980366	-111597571	ENSP00000275493	11597571	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.264	0.772
CC49	MK-2206	-110127622	-124964624	10127622	24964624	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.499	0.498
doxorubicin	vorinostat	-100001690	-100005311	1690	5311	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.547	0.547
CC49	trametinib	-110127622	-111707110	10127622	11707110	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.583	0.583
cisplatin	irinotecan	-100002767	-100003750	2767	3750	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.800
vorinostat	temsirolimus	-100005311	-100148191	5311	148191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.589	0.589
ABCG2	5-FU	977147	-100003385	ENSP00000237612	3385	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.366	0.869
DPYD	TOP1	990069	989008	ENSP00000359211	ENSP00000354522	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.427	0.427
docetaxel	bortezomib	-100003143	-100093860	3143	93860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.654	0.654
5-FU	SN-38	-100003385	-100104842	3385	104842	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.766	0.766
gemcitabine	vandetanib	-100003461	-103081361	3461	3081361	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.495	0.495
docetaxel	5-FU	-100003143	-100003385	3143	3385	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.920	0.920
KDR	cediranib	979279	-109933475	ENSP00000263923	9933475	0.000	0.000	0.000	0.000	0.000	0.899	0.800	0.871	0.997
EGFR	gemcitabine	980366	-100003461	ENSP00000275493	3461	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.903	0.990
MET	crizotinib	984251	-111597571	ENSP00000317272	11597571	0.000	0.000	0.000	0.000	0.000	0.900	0.800	0.870	0.997
paclitaxel	cediranib	-100004666	-109933475	4666	9933475	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.581	0.581
ESR1	paclitaxel	976039	-100004666	ENSP00000206249	4666	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.636	0.636
5-azacytidine	etoposide	-100001805	-100003310	1805	3310	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.403	0.403
paclitaxel	gefitinib	-100004666	-100123631	4666	123631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.966	0.966
TOP1	ABCG2	989008	977147	ENSP00000354522	ENSP00000237612	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.563	0.563
5-FU	topotecan	-100003385	-100005515	3385	5515	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.582	0.582
TOP1	TYMS	989008	984083	ENSP00000354522	ENSP00000315644	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.566	0.565
DPYD	bortezomib	990069	-100093860	ENSP00000359211	93860	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.000	0.700
docetaxel	vandetanib	-100003143	-103081361	3143	3081361	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.589	0.589
cisplatin	etoposide	-100002767	-100003310	2767	3310	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.935	0.935
bortezomib	everolimus	-100093860	-106442177	93860	6442177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.550	0.550
doxorubicin	cisplatin	-100001690	-100002767	1690	2767	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.992	0.992
docetaxel	vinorelbine	-100003143	-100005672	3143	5672	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.990	0.990
cisplatin	1,2-diaminocyc.	-100002767	-100004610	2767	4610	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.991	0.991
etoposide	paclitaxel	-100003310	-100004666	3310	4666	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.946	0.946
etoposide	vinorelbine	-100003310	-100005672	3310	5672	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.867	0.867
bortezomib	gefitinib	-100093860	-100123631	93860	123631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.582	0.582
vandetanib	afatinib	-103081361	-110163178	3081361	10163178	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.362	0.934
gemcitabine	vinorelbine	-100003461	-100005672	3461	5672	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.936	0.936
ESR2	etoposide	987437	-100003310	ENSP00000343925	3310	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.000	0.700
paclitaxel	FOLFIRI	-100004666	-156842117	4666	56842117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.571	0.571
doxorubicin	etoposide	-100001690	-100003310	1690	3310	0.000	0.000	0.000	0.533	0.000	0.000	0.000	0.986	0.986
EGFR	tamoxifen	980366	-100005376	ENSP00000275493	5376	0.000	0.000	0.000	0.000	0.000	0.362	0.700	0.910	0.981
5-FU	FOLFIRI	-100003385	-156842117	3385	56842117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.764	0.764
DCK	paclitaxel	981000	-100004666	ENSP00000286648	4666	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.822	0.822
docetaxel	temsirolimus	-100003143	-100148191	3143	148191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.525	0.525
DPYD	EGFR	990069	980366	ENSP00000359211	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.412	0.412
doxorubicin	irinotecan	-100001690	-100003750	1690	3750	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.924	0.924
KDR	regorafenib	979279	-111167602	ENSP00000263923	11167602	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.154	0.738
KDR	gefitinib	979279	-100123631	ENSP00000263923	123631	0.000	0.000	0.000	0.000	0.000	0.330	0.000	0.396	0.583
doxorubicin	FOLFOX	-100001690	-156842121	1690	56842121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.556	0.556
doxorubicin	temsirolimus	-100001690	-100148191	1690	148191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.571	0.571
5-azacytidine	vorinostat	-100001805	-100005311	1805	5311	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.585	0.585
gefitinib	FOLFIRI	-100123631	-156842117	123631	56842117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.460	0.460
EGFR	ESR1	980366	976039	ENSP00000275493	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.937	0.000	0.955	0.997
DPYD	irinotecan	990069	-100003750	ENSP00000359211	3750	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.399	0.814
AZD8055	AZD2014	-125001065	-125262792	25001065	25262792	0.000	0.000	0.000	0.789	0.000	0.000	0.000	0.537	0.537
bortezomib	navitoclax	-100093860	-124978538	93860	24978538	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.449	0.449
ABCG2	etoposide	977147	-100003310	ENSP00000237612	3310	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.544	0.953
cisplatin	paclitaxel	-100002767	-100004666	2767	4666	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.982	0.982
doxorubicin	everolimus	-100001690	-106442177	1690	6442177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.499	0.499
DPYD	TYMS	990069	984083	ENSP00000359211	ENSP00000315644	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.860	0.864
TYMS	EGFR	984083	980366	ENSP00000315644	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.516	0.516
paclitaxel	everolimus	-100004666	-106442177	4666	6442177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.961	0.961
MET	ICI 182,780	984251	-100104741	ENSP00000317272	104741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.719	0.719
