CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,QA,COMBINATION_ID
VCaP,AKT,AKT,1,1,0.753375898,1.287777,0,0.35061699,3.7043189,42.13228405,NA,1,AKT.AKT
22RV1,AKT,AR,10,1,1,0,100,0.345308141,1.3267041,64.79116639,NA,1,AKT.AR
VCaP,AKT,AR,10,1,2.654045289,0.5752196,60.63296249,0.330854974,3.87661,67.25666856,NA,1,AKT.AR
VCaP,AKT,BCL2,10,1,1,0,100,0.313433844,1.8629787,57.75078094,NA,1,AKT.BCL2
COLO-205,AKT,BRAF_M,3,3,0.204404618,1.7578784,6.44758785,1.206549609,2.5404367,0,NA,1,AKT.BRAF_M
NCI-H747,AKT,BRAF_M,3,3,3e-04,0.1,83.12245016,0.17065447,0.6488549,0,NA,1,AKT.BRAF_M
HCT-116,AKT,BRAF_M,3,3,1,0,100,1.114257192,10,5.1952547,NA,1,AKT.BRAF_M
HT-29,AKT,BRAF_M,3,3,0.431491388,2.1451675,66.53298258,1.084958948,1.3916032,0,NA,1,AKT.BRAF_M
LS-513,AKT,BRAF_M,3,3,3,1.0091293,52.10620644,3,0.6605562,33.59843504,NA,1,AKT.BRAF_M
RKO,AKT,BRAF_M,3,3,1,0,100,0.760190633,1.0713162,0,NA,1,AKT.BRAF_M
SW837,AKT,BRAF_M,3,3,3e-04,0.1,94.85374776,0.951541245,1.5095191,14.87991342,NA,1,AKT.BRAF_M
SW948,AKT,BRAF_M,3,1,0.305591189,10,90.74989865,1,10,60.60004235,NA,1,AKT.BRAF_M
HT-1197,AKT,EG5,3,1,3e-04,0.1,38.21823558,0.056389272,3.0096609,68.89979034,NA,1,AKT.EG5
HT-1376,AKT,EG5,0.1,3,0.001826373,5.2316904,29.0930538,0.065924701,0.6853473,18.53655331,NA,1,AKT.EG5
J82,AKT,EG5,3,3,3e-04,0.1318304,0,1.161711438,0.7284004,12.33773393,NA,1,AKT.EG5
SW780,AKT,EG5,0.003,3,1,0,100,0.345086203,2.3103041,30.02854259,NA,1,AKT.EG5
T-24,AKT,EG5,3,3,0.018651749,10,0.64999881,1,0,100,NA,1,AKT.EG5
TCCSUP,AKT,EG5,0.003,3,0.002780913,10,0,0.608339766,0.7696383,48.65729038,NA,1,AKT.EG5
UM-UC-3,AKT,EG5,0.003,3,0.001134777,10,83.19899199,3,1.1928271,56.86046167,NA,1,AKT.EG5
BT-474,AKT,ESR1_3,1,1,0.0063729,1.1416624,30.07711568,0.141208851,1.0469005,0,NA,1,AKT.ESR1_3
CAMA-1,AKT,ESR1_3,1,1,1,0,100,0.250628427,0.8377723,18.53449038,NA,1,AKT.ESR1_3
HCC1419,AKT,ESR1_3,1,1,1,0,100,0.274036924,3.2555415,47.44186113,NA,1,AKT.ESR1_3
HCC1500,AKT,ESR1_3,1,1,0.023782925,1.4156216,10.10962983,1,0.6702343,38.34717418,NA,1,AKT.ESR1_3
MCF7,AKT,ESR1_3,1,1,0.290088785,1.9622322,63.16968074,0.486844541,2.424478,60.1808065,NA,1,AKT.ESR1_3
MDA-MB-361,AKT,ESR1_3,1,1,0.045306243,1.543173,60.22232898,0.263203923,2.8473621,31.00803281,NA,1,AKT.ESR1_3
T47D,AKT,ESR1_3,1,1,0.097285614,10,62.69984987,0.106475226,10,36.79899666,NA,1,AKT.ESR1_3
UACC-812,AKT,ESR1_3,1,1,1,0,100,0.113571696,10,93.59988214,NA,1,AKT.ESR1_3
BT-474,AKT,FNTA_FNTB,1,1,0.18327739,2.3095323,80.620432,0.169677614,2.042941,11.88090755,NA,1,AKT.FNTA_FNTB
CAMA-1,AKT,FNTA_FNTB,1,1,1,0,100,0.16737772,2.4660651,38.28887119,NA,1,AKT.FNTA_FNTB
HCC1419,AKT,FNTA_FNTB,1,1,0.206820383,10,80.82484507,0.330082676,1.4459057,36.5328058,NA,1,AKT.FNTA_FNTB
HCC1500,AKT,FNTA_FNTB,1,1,0.525352911,1.5177896,16.06005826,0.313553321,10,74.69974869,NA,1,AKT.FNTA_FNTB
MCF7,AKT,FNTA_FNTB,1,1,0.055527839,1.9005202,32.43250599,0.315258511,10,67.49967854,NA,1,AKT.FNTA_FNTB
MDA-MB-361,AKT,FNTA_FNTB,1,1,1,0,100,0.263591949,1.7465328,26.9529078,NA,1,AKT.FNTA_FNTB
T47D,AKT,FNTA_FNTB,1,1,0.304508724,10,87.89984405,0.110907384,10,41.99866814,NA,1,AKT.FNTA_FNTB
UACC-812,AKT,FNTA_FNTB,1,1,0.191218729,4.3607679,5.71711811,1,0,100,NA,1,AKT.FNTA_FNTB
647-V,AKT,IAP,0.003,3,0.000566745,1.6096489,6.89826955,0.734288202,1.6300284,3.30301506,NA,1,AKT.IAP
BFTC-905,AKT,IAP,3,3,3e-04,0.2704804,0,0.270187054,2.988949,51.55194497,NA,1,AKT.IAP
HT-1197,AKT,IAP,3,1,3,2.3400503,13.87500505,0.119408989,2.0748175,62.63400931,NA,1,AKT.IAP
HT-1376,AKT,IAP,3,3,0.074875556,0.2638761,0,0.116450601,0.980603,32.98635517,NA,1,AKT.IAP
J82,AKT,IAP,3,3,0.009410135,1.2968781,27.87135358,1.749205122,0.6019826,0,NA,1,AKT.IAP
SW780,AKT,IAP,0.03,3,0.001569904,2.1332189,67.15542412,0.405630347,2.31722,31.82935524,NA,1,AKT.IAP
T-24,AKT,IAP,1,3,0.191914133,1.3408635,84.43486732,1,0,100,NA,1,AKT.IAP
TCCSUP,AKT,IAP,0.03,3,0.000201962,1.1163693,77.91699782,0.458237969,0.5351335,50.77170655,NA,1,AKT.IAP
UM-UC-3,AKT,IAP,0.03,3,0.001819752,1.5623406,71.53068252,1.055830622,2.7264914,79.4755524,NA,1,AKT.IAP
BT-474,AKT,MAP2K,1,1,0.010762966,1.6627992,50.67805839,0.134879014,1.820959,12.99536471,NA,1,AKT.MAP2K
CAMA-1,AKT,MAP2K,1,1,0.034081117,1.0730244,46.28461655,0.133140587,2.350432,26.7535141,NA,1,AKT.MAP2K
HCC1419,AKT,MAP2K,1,1,0.013251158,1.3035388,44.21386905,0.503004373,1.1268337,33.30571668,NA,1,AKT.MAP2K
