Gene1	Gene2	qval
ABL2	ABL1	0.00115791627493082
ACTC1	ACTA2	0.00115791627493082
ACTC1	ACTB	0.00115791627493082
ACTG1	ACTB	0.00115791627493082
ACTN2	ACTN1	0.00115791627493082
ADRA1A	ADRA1D	0.00115791627493082
ADRA1A	ADRA1B	0.00115791627493082
ADRB1	ADRA2A	0.00115791627493082
ADRBK2	ADRBK1	0.00115791627493082
AMHR2	AMH	0.00115791627493082
CD3E	CD3D	0.00115791627493082
CD3G	CD3E	0.00115791627493082
CD40LG	CD40	0.00115791627493082
CDH1	CDC42	0.00115791627493082
CDH3	CDH1	0.00115791627493082
EGR1	CHD1	0.00115791627493082
CKS2	CKS1B	0.00115791627493082
AP2S1	AP2M1	0.00115791627493082
CLK3	CLK2	0.00115791627493082
COL4A2	COL4A1	0.00115791627493082
CPT1A	CPS1	0.00115791627493082
CR2	CR1	0.00115791627493082
CTNNB1	CTNNA1	0.00115791627493082
CTNND1	CTNNA1	0.00115791627493082
CTNND1	CTNNB1	0.00115791627493082
DYNC1I2	DYNC1H1	0.00115791627493082
DYNC1LI2	DYNC1H1	0.00115791627493082
DNM2	DYNC1I1	0.00115791627493082
DYNC1LI2	DYNC1I2	0.00115791627493082
DNMT3B	DNMT3A	0.00115791627493082
EDNRA	EDN1	0.00115791627493082
EDNRA	EDN3	0.00115791627493082
PHC2	PHC1	0.00115791627493082
EGFR	MEGF6	0.00115791627493082
EGR1	EGFR	0.00115791627493082
EGR2	EGR1	0.00115791627493082
EPAS1	EP300	0.00115791627493082
EPOR	EPO	0.00115791627493082
ERBB2	EPS15	0.00115791627493082
ERBB3	ERBB2	0.00115791627493082
ERBB4	ERBB2	0.00115791627493082
ERBB4	ERBB3	0.00115791627493082
ERCC6	ERCC5	0.00115791627493082
FLNB	FLNA	0.00115791627493082
FNTB	FNTA	0.00115791627493082
FTH1	NR5A2	0.00115791627493082
FTL	FTH1	0.00115791627493082
GABRR2	GABRR1	0.00115791627493082
GAD2	GAD1	0.00115791627493082
GCHFR	GCH1	0.00115791627493082
GCKR	GCK	0.00115791627493082
GHR	GH1	0.00115791627493082
GHR	GH2	0.00115791627493082
GJB2	GJB1	0.00115791627493082
GCLM	GCLC	0.00115791627493082
GSTA2	GSTA1	0.00115791627493082
GSTM2	GSTM1	0.00115791627493082
GSTM3	GSTM2	0.00115791627493082
GTF3C2	GTF3C1	0.00115791627493082
HIST1H2BD	H2AFX	0.00115791627493082
HIST1H2BD	H2AFZ	0.00115791627493082
HGFAC	HGF	0.00115791627493082
HSPA5	HSPA1L	0.00115791627493082
HSPA6	HSPA1L	0.00115791627493082
HSPA5	HSPA4	0.00115791627493082
HSPA6	HSPA5	0.00115791627493082
IFIT3	IFIT1	0.00115791627493082
IFNAR2	IFNAR1	0.00115791627493082
IFNB1	IFNAR1	0.00115791627493082
IFNB1	IFNAR2	0.00115791627493082
KNG1	KLK1	0.00115791627493082
KNG1	KLKB1	0.00115791627493082
KLRD1	KLRC1	0.00115791627493082
KLRD1	KLRC2	0.00115791627493082
KLRD1	KLRC3	0.00115791627493082
LEPR	LEP	0.00115791627493082
LGALS3	LGALS1	0.00115791627493082
MATN3	MATN2	0.00115791627493082
MC4R	MC1R	0.00115791627493082
MDM4	MDM2	0.00115791627493082
MEA1	MDM2	0.00115791627493082
MEF2D	MEF2A	0.00115791627493082
MEF2D	MEF2C	0.00115791627493082
MMP9	MMP7	0.00115791627493082
MMP10	MMP9	0.00115791627493082
MTNR1B	MTNR1A	0.00115791627493082
MYBPC2	MYBPC1	0.00115791627493082
MYBPH	MYBPC2	0.00115791627493082
ECI2	NDUFA2	0.00115791627493082
NDUFB1	NDUFA5	0.00115791627493082
TOMM40	NDUFA7	0.00115791627493082
ECI2	NDUFA7	0.00115791627493082
YBX1	NPM1	0.00115791627493082
NUMA1	NPM1	0.00115791627493082
NUP98	NPM1	0.00115791627493082
NPR1	NPPA	0.00115791627493082
NPR2	NPPA	0.00115791627493082
NPR3	NPPA	0.00115791627493082
NPR1	NPPB	0.00115791627493082
NPR2	NPPB	0.00115791627493082
NPR3	NPPB	0.00115791627493082
NPR1	NPPC	0.00115791627493082
NPR2	NPPC	0.00115791627493082
NPR3	NPPC	0.00115791627493082
NTRK1	NTF3	0.00115791627493082
NTRK2	NTF3	0.00115791627493082
NTRK3	NTF3	0.00115791627493082
NTRK2	NTF4	0.00115791627493082
NTSR1	NTS	0.00115791627493082
NUP98	NUMA1	0.00115791627493082
NUP98	NUP88	0.00115791627493082
OAZ2	OAZ1	0.00115791627493082
ODC1	OAZ1	0.00115791627493082
ODC1	OAZ2	0.00115791627493082
ODF2	ODF1	0.00115791627493082
OPRK1	OPRD1	0.00115791627493082
OPRM1	OPRD1	0.00115791627493082
PDGFB	PDGFA	0.00115791627493082
PEX6	PEX1	0.00115791627493082
PEX12	PEX10	0.00115791627493082
PIGH	PIGA	0.00115791627493082
PIK3R1	PIK3C2B	0.00115791627493082
PIK3R1	PIK3CA	0.00115791627493082
PIK3R2	PIK3CA	0.00115791627493082
PIK3R1	PIK3CB	0.00115791627493082
PIK3R2	PIK3CB	0.00115791627493082
PIK3CG	PIK3CD	0.00115791627493082
PIK3R1	PIK3CD	0.00115791627493082
PIK3R2	PIK3CD	0.00115791627493082
PIK3R2	PIK3R1	0.00115791627493082
PKM	PIN1	0.00115791627493082
PKD2	PKD1	0.00115791627493082
PKHD1	PKD2	0.00115791627493082
PLA2G2A	PLA2G1B	0.00115791627493082
SEPT4	SEPT5	0.00115791627493082
POLE2	POLE	0.00115791627493082
POLR2B	POLR2A	0.00115791627493082
POU2F1	POU2AF1	0.00115791627493082
PPP2R1B	PPP2R1A	0.00115791627493082
PPP2R2A	PPP2R1A	0.00115791627493082
PPP2R2B	PPP2R1A	0.00115791627493082
PPP2R2A	PPP2R1B	0.00115791627493082
PPP2R2B	PPP2R1B	0.00115791627493082
PRKCZ	PRKCQ	0.00115791627493082
PRKCZ	PRKCSH	0.00115791627493082
PRPSAP1	PRPS2	0.00115791627493082
PSMD8	PSMD7	0.00115791627493082
PSMD10	PSMD7	0.00115791627493082
PSMD11	PSMD7	0.00115791627493082
PSMD12	PSMD7	0.00115791627493082
PSMD13	PSMD7	0.00115791627493082
PSME2	PSMD7	0.00115791627493082
PSMD10	PSMD8	0.00115791627493082
PSMD11	PSMD8	0.00115791627493082
PSMD12	PSMD8	0.00115791627493082
PSMD13	PSMD8	0.00115791627493082
PSMD11	PSMD10	0.00115791627493082
PSMD12	PSMD10	0.00115791627493082
PSMD13	PSMD10	0.00115791627493082
PSMD12	PSMD11	0.00115791627493082
PSMD13	PSMD11	0.00115791627493082
PSMD13	PSMD12	0.00115791627493082
PSME1	PSMD12	0.00115791627493082
PSME2	PSME1	0.00115791627493082
PTGER3	PTGER1	0.00115791627493082
PTGS1	PTGIS	0.00115791627493082
PTGS2	PTGIS	0.00115791627493082
PTH1R	PTH	0.00115791627493082
PTH2R	PTH	0.00115791627493082
PTH1R	PTHLH	0.00115791627493082
PTMS	PTMA	0.00115791627493082
PTPN11	PTPN6	0.00115791627493082
PTPRC	PTPN6	0.00115791627493082
RAD17	RAD9A	0.00115791627493082
RAD23B	RAD23A	0.00115791627493082
RENBP	REN	0.00115791627493082
RFC2	RFC1	0.00115791627493082
RFC3	RFC1	0.00115791627493082
RFC4	RFC1	0.00115791627493082
RFC5	RFC1	0.00115791627493082
RFC3	RFC2	0.00115791627493082
RFC4	RFC2	0.00115791627493082
RFC5	RFC2	0.00115791627493082
RFC4	RFC3	0.00115791627493082
RFC5	RFC3	0.00115791627493082
RFC5	RFC4	0.00115791627493082
RFX4	RFX2	0.00115791627493082
RFX4	RFX3	0.00115791627493082
RPL7A	RPL7	0.00115791627493082
RPL8	RPL7	0.00115791627493082
RPL9	RPL7	0.00115791627493082
RPL10	RPL7	0.00115791627493082
RPL11	RPL7	0.00115791627493082
RPL12	RPL7	0.00115791627493082
RPL13	RPL7	0.00115791627493082
RPL15	RPL7	0.00115791627493082
RPL18	RPL7	0.00115791627493082
RPL8	RPL7A	0.00115791627493082
RPL9	RPL7A	0.00115791627493082
RPL10	RPL7A	0.00115791627493082
RPL11	RPL7A	0.00115791627493082
RPL12	RPL7A	0.00115791627493082
RPL13	RPL7A	0.00115791627493082
RPL15	RPL7A	0.00115791627493082
RPL18	RPL7A	0.00115791627493082
RPL9	RPL8	0.00115791627493082
RPL10	RPL8	0.00115791627493082
RPL11	RPL8	0.00115791627493082
RPL12	RPL8	0.00115791627493082
RPL15	RPL8	0.00115791627493082
RPL18	RPL8	0.00115791627493082
RPL10	RPL9	0.00115791627493082
RPL11	RPL9	0.00115791627493082
RPL12	RPL9	0.00115791627493082
RPL15	RPL9	0.00115791627493082
RPL18	RPL9	0.00115791627493082
RPL11	RPL10	0.00115791627493082
RPL12	RPL10	0.00115791627493082
RPL18	RPL10	0.00115791627493082
RPL12	RPL11	0.00115791627493082
