Small Molecule HMS LINCS ID	Small Molecule Name	Protein HMS LINCS ID	Protein Name	Effective Concentration	Key References	Is Nominal
10001-101	(R)- Roscovitine	200575	CDK2	p34 cdc2/cyclin B (IC50 = 0.65 µM), p33 cdk2/cyclin A(IC50 = 0.70 µM), p33 cdk2/cyclin E (IC50 = 0.70 µM), and p33 cdk2/p35(IC50 = 0.20 µM)	[1]  Eur J Biochem. 1997 Jan 15;243(1-2):518-26. PMID: 9030780; [2] Plant J.1997 Jul;12(1):191-202; [3]Anticancer Res. 1998 Mar-Apr;18(2A):751-5. PMID: 9615715	1
10002-101	ALW-II-38-3	200505	DDR1	3.2 nM	Bioorg Med Chem Lett. 2009 Aug 1;19(15):4467-70  PubMed ID: 19553108	1
10003-101	ALW-II-49-7	200505	DDR1	12.4 nM	Bioorg Med Chem Lett. 2009 Aug 1;19(15):4467-70  PubMed ID: 19553108	1
10004-101	AT-7519	200580	CDK9	<10 nm	[1] Mol Cancer Ther. 2009 Feb;8(2):324-32. PMID: 19174555; [2] J Med Chem. 2008 Aug 28;51(16):4986-99. PMID: 18656911; [3] Mol Cancer Ther. 2010 Apr;9(4):920-8. PMID: 20354122; [4] Oncogene. 2010 Apr 22;29(16):2325-36. PMID: 20101221	1
10005-101	Tivozanib	200598	VGFR2		[1] Drugs Fut. 2009, 34(10): 793; [2] Cancer Res. 2006 Sep 15;66(18):9134-42. PMID: 16982756	1
10006-101	AZD7762	200499	CHK1	IC50: 5 nM	[1] Curr Opin Drug Discov Devel. 2007 Jul;10(4):473-86. PMID: 17659489; [2] Clin. Cancer Res. 2008, 14(13), 4033-4037; [3] Mol Cancer Ther. 2008 Sep;7(9):2955-66. PMID: 18790776	1
10007-101	AZD8055	200537	mTOR	IC50: 3 nM	Cancer Res. 2010 Jan 1;70(1):288-98. PMID: 20028854	1
10008-101	Sorafenib	200494	BRAF	IC50: 22 nM	[1] Cancer Res. 2004 Oct 1;64(19):7099-109. PMID: 15466206; [2] Nat Biotechnol. 2008 Jan;26(1):127-32. PMID: 18183025	1
10009-101	CP466722	200488	ATM		Cancer Res. 2008, 68(18), 7466-7474.	1
10010-101	CP724714	200509	ERBB2	IC50: 32 nM	Cancer Res. 2007 Oct 15;67(20):9887-93	1
10011-101	Flavopiridol	200498	CDK1	40 nM	[1] Expert Opinion on Investigational Drugs. 2000 December;9(12):2903-2911. PMID: 11093360; [2]  Clin Cancer Res.2008 January 15;14:523-532. PMID: 18223228; [3]The Journal of Clinical Investigation. 1998 November;102(9):1674-1681. PMID: 9802881	1
10012-101	GSK429286A	201147	ROCK1	14 nM	[1] Biochem J. 2009 Oct 23;424(1):47-60. PMID: 19740074; [2] J Med Chem. 2007 Jan 11;50(1):6-9. PMID: 17201405	1
10013-101	GSK461364	200551	PLK1	0.1 nM	Nat Biotechnol. 2011 Oct 30;29(11):1046-51.	1
10014-101	GW843682	200551	PLK1	2.2 nM	Mol Cancer Ther. 2007 Feb;6(2):450-9. PMID: 17267659	1
10015-101	HG-5-113-01	200600	LOK			1
10016-101	HG-5-88-01	200507	EGFR			1
10017-101	HG-6-64-01	201109	ABL1			1
10018-101	Neratinib	200509	ERBB2	59 nM	[1] Cancer Res. 2004 Jun 1;64(11):3958-65. PMID: 15173008	1
10019-101	JW-7-24-1	200599	LCK	IC50: 38.2 nM		1
10020-101	Dasatinib	201109	ABL1	0.6 nM	Cancer Res. 2005 Jun 1;65(11):4500-5.	1
10021-101	Tozasertib	200489	AURKA	0.6 nM	Nat Med. 2004 Mar;10(3):262-7. PMID: 14981513	1
10022-101	GNF2	201109	ABL1	267 nM	Nat Chem Biol. 2006 Feb;2(2):95-102. PMID: 16415863	1
10023-103	Imatinib	201109	ABL1	25 nM	[1] Cancer Res. 1996 Jan 1;56(1):100-4. PMID: 8548747; [2] Nat Med. 1996 May;2(5):561-6. PMID: 8616716; [3] Blood. 2005 Apr 1;105(7):2640-53. PMID: 15618470	1
10024-101	NVP-TAE684	200485	ALK	2 and 10 nM	Proc Natl Acad Sci U S A. 2007 Jan 2;104(1):270-5. PMID: 17185414	1
10025-101	CGP60474	200498	CDK1	17 nM	Current Medicinal Chemistry: Anti-Cancer Agents (2003), 3(1), 1-14. PMID: 12678910	1
10026-101	PD173074	200514	FGFR1	26 nM	Investigational New Drugs (1999), 17(2), 121-135. PMID: 10638483	1
10027-101	Crizotinib	200502	c-Met	11 nM	[1] Cancer Res. 2007 May 1;67(9):4408-17. PMID: 17483355; [2] Mol Cancer Ther December. 2007,6:3314	1
10028-102	BMS345541	200521	IKKB	0.3 uM	Journal of Biological Chemistry (2003), 278(3), 1450-1456. PMID: 12403772	1
10029-101	GW-5074	200503	c-Raf	9 nM	Bioorg Med Chem Lett. 2000 Feb 7;10(3):223-6. PMID: 10698440	1
10030-101	KIN001-042	200517	GSK3B	390 nM	Bioorg Med Chem Lett. 2002 Jun 3;12(11):1525-8. PMID: 12031334	1
10031-101	KIN001-043	200517	GSK3B	5 nM	J Med Chem. 2004 Feb 12;47(4):935-46. PMID: 14761195	1
10032-101	Saracatinib	200555	Src	0.2-0.7 µM	Breast Cancer Res Treat. 2006 Jun;97(3):263-74. PMID: 16333527	1
10033-101	KIN001-055	200525	JAK3	11 nM	[1] Anticancer Res. 1999. 14:403; [2] Clin Cancer Res. 1999 Jun;5(6):1569-82. PMID: 10389946. Sold under license of U.S. Patent 6,080,748 and corresponding patents.	1
10034-101	AS601245	200528	JNK3	70 nM	[1] J Med Chem. 2005 Jul 14;48(14):4596-607. PMID: 15999997; [2] J. Neurochem. 2005. 92:1054 [3] Br. J. Pharmacol. 2004.142:953. [4] J. Pharm. Exp. Ther. 2004. 310:25.	1
10035-101	Sigma A6730	200482	AKT1	58 nM	[1] Bioorg Med Chem Lett. 2005 Feb 15;15(4):905-9. PMID: 15686884; [2] Biochem. J. 2005. 385:399-408.	1
