chemical	alias	source
CID000009444	124679-EP2270008A1	826
CID000009444	124679-EP2292617A1	826
CID000009444	124679-EP2295426A1	826
CID000009444	124679-EP2295427A1	826
CID000009444	33795-EP2275420A1	826
CID000009444	33795-EP2295055A2	826
CID000009444	33795-EP2295416A2	826
CID000009444	33795-EP2298748A2	826
CID000009444	33795-EP2298764A1	826
CID000009444	33795-EP2298765A1	826
CID000009444	33795-EP2305642A2	826
CID000009444	33795-EP2311453A1	826
CID000009444	33795-EP2311840A1	826
CID000009444	5-AC	845 ChemIDplus LeadScope
CID000009444	5-AZCR	845 ChemIDplus LeadScope
CID000009444	5-AzaC	845 LeadScope NIAID
CID000009444	5-aza-CR	845 Prous_Science_Drugs_of_the_Future
CID000009444	5-azacitidine	845
CID000009444	5-azacytidine	1046 1052 1081 1096 1102 718 760 824 826 845 925 ChEBI ChemIDplus Circadian_Research,_Kay_Laboratory,_University_of_California_at_San_Diego_(UCSD) Comparative_Toxicogenomics_Database EPA_DSSTox Jamson_Pharmachem_Technology KEGG LeadScope MLSMR NCGC NIAID NIH_Clinical_Collection NINDS_Approved_Drug_Screening_Program Prous_Science_Drugs_of_the_Future Sigma-Aldrich
CID000009444	5-azacytidine;Mylosar;Ladakamycin;Vidaza	732
CID000009444	5AzaC	845 EPA_DSSTox
CID000009444	A 2385	845 Circadian_Research,_Kay_Laboratory,_University_of_California_at_San_Diego_(UCSD)
CID000009444	A1287_SIGMA	845 Sigma-Aldrich
CID000009444	A2385_SIGMA	845 Sigma-Aldrich
CID000009444	A5777	813
CID000009444	AB2000290	732
CID000009444	AC1L1T1Y	708 845
CID000009444	AG-A-83628	940
CID000009444	AG-F-07047	760
CID000009444	AKOS015896938	AKos_Consulting_&_Solutions
CID000009444	ANW-27256	1046
CID000009444	Antibiotic u 18496	845 ChemIDplus LeadScope
CID000009444	Azacitidina	845 ChemIDplus
CID000009444	Azacitidina [INN-Spanish]	1052 845 ChemIDplus DrugBank LeadScope
CID000009444	Azacitidine (JAN/USAN/INN)	845 KEGG
CID000009444	Azacitidine (Vidaza)	Selleck_Chemicals
CID000009444	Azacitidine [USAN:INN]	845 LeadScope
CID000009444	Azacitidine-Supplied by Selleck Chemicals	Selleck_Chemicals
CID000009444	Azacitidinum	845 ChemIDplus
CID000009444	Azacitidinum [INN-Latin]	1052 845 ChemIDplus DrugBank LeadScope
CID000009444	Azacytidine	1052 845 ChemIDplus Comparative_Toxicogenomics_Database DrugBank LeadScope MTDP Prous_Science_Drugs_of_the_Future
CID000009444	Azacytidine, 5-	845 EPA_DSSTox
CID000009444	BCBcMAP01_000083	845 ChemBank
CID000009444	BRN 0620461	845 ChemIDplus LeadScope
CID000009444	BSPBio_003157	845 ChemBank
