chemical1	chemical2	similarity	experimental	database	textmining	combined_score
CID056842121	CID009933475	0	0	0	362	362
CID056842121	CID056842117	0	0	0	830	830
CID056842121	CID010302451	0	0	0	179	178
CID056842121	CID011167602	0	0	0	290	290
CID056842121	CID003081361	0	0	0	233	233
CID056842121	CID006918289	0	0	0	197	196
CID056842121	CID000441276	0	0	0	481	481
CID056842121	CID000387447	0	0	0	168	167
CID056842121	CID000123631	0	0	0	482	482
CID056842121	CID000104842	0	0	0	394	394
CID056842121	CID000003385	0	0	0	768	768
CID056842121	CID000002767	0	0	0	543	543
CID056842117	CID056842121	0	0	0	830	830
CID056842117	CID011167602	0	0	0	362	362
CID056842117	CID009933475	0	0	0	289	288
CID056842117	CID006918289	0	0	0	169	169
CID056842117	CID000123631	0	0	0	460	460
CID056842117	CID003081361	0	0	0	281	281
CID056842117	CID000441276	0	0	0	396	396
CID056842117	CID000104842	748	0	0	536	536
CID056842117	CID000002767	0	0	0	485	485
CID056842117	CID000003385	0	0	0	764	764
CID056649450	CID024964624	0	0	0	321	321
CID056649450	CID025262792	0	0	0	489	489
CID056649450	CID025262965	0	0	0	489	489
CID056649450	CID025227436	0	0	0	394	394
CID056649450	CID016654980	0	0	0	421	421
CID056649450	CID017755052	0	0	0	363	363
CID056649450	CID011625818	0	0	0	540	540
CID056649450	CID006918289	0	0	0	168	167
CID044424639	CID000441276	0	0	0	187	187
CID025262965	CID010127622	0	0	0	292	292
CID025262965	CID056649450	0	0	0	489	489
CID025262965	CID025262792	789	0	0	537	537
CID025262965	CID025227436	0	0	0	265	265
CID025262965	CID010302451	0	0	0	166	166
CID025262965	CID024978538	0	0	0	185	185
CID025262965	CID024964624	0	0	0	489	489
CID025262965	CID017755052	0	0	0	399	399
CID025262965	CID016654980	0	0	0	290	290
CID025262965	CID006918289	0	0	0	485	485
CID025262965	CID011625818	0	0	0	330	329
CID025262792	CID056649450	0	0	0	489	489
CID025262792	CID011625818	0	0	0	326	326
CID025262792	CID025262965	789	0	0	537	537
CID025262792	CID025227436	0	0	0	230	230
