source	CELLLINES_Basal	CELLLINES_Basal_Rank	CELLLINES_Claudin-low	CELLLINES_Claudin-low_Rank	CELLLINES_ERBB2AMP	CELLLINES_ERBB2AMP_Rank	CELLLINES_Luminal	CELLLINES_Luminal_Rank	TCGA_Basal	TCGA_Basal_Rank	TCGA_ERBB2AMP	TCGA_ERBB2AMP_Rank	TCGA_Luminal	TCGA_Luminal_Rank	BOTH_Basal	BOTH_Luminal	BOTH_ERBB2
GRB7;PDGF:Phospho-PDGF receptor dimer:Grb7 (complex);Tie2:Grb7 complex (complex)	-1.413030993	2016	-2.31211241	2409	2.389771287	1	-0.911750326	2017	-2.317020774	2107	4.483461625	7	-0.221273436	1134	2061.5	1575.5	4
ERBB2;ErbB2/ErbB2/HSP90 (dimer) (complex)	-1.862417416	2175	-2.76205587	2457	1.609216317	12	2.357522256	83	-5.688050106	2441	3.617827771	29	2.400844757	312	2308	197.5	20.5
TEP1	-0.536589192	1566	-1.408291761	2190	1.197261894	32	0.633517437	801	-1.401498201	1885	4.152914814	13	-1.162063587	1515	1725.5	1158	22.5
DNA damage (abstract);FA complex (complex);ATR;positive regulation of S phase of mitotic cell cycle (abstract);MDM4;PARP1;PDCD8;removal of superoxide radicals (abstract)	0.158317322	1123	-1.342572947	2174	1.796586476	5	1.372472197	343	1.460424816	884	2.942227283	93	-2.959069906	2100	1003.5	1221.5	49
nuclear import (abstract)	0.128564391	1151	-1.592019246	2255	1.733390102	8	1.242141791	405	0.706772289	1179	2.79554761	107	-3.291201712	2192	1165	1298.5	57.5
P2RY6;P2Y6 receptor:UDP (complex)	-1.153216951	1900	-2.090164035	2365	0.853188637	98	1.043693491	516	3.681184079	248	3.523949887	43	-4.204160743	2371	1074	1443.5	70.5
ERBB2/ERBB3 (complex);ErbB2/ErbB3/neuregulin 2 (complex)	-2.704451089	2341	-4.504254624	2502	1.522645757	14	2.717284615	45	-7.310405302	2483	2.681874811	129	3.73266904	124	2412	84.5	71.5
DNA containing an hSMUG1-bound apurinic/apyrimidinic site (complex);SMUG1;hSMUG1glycosylase:uracil complex (complex)	-5.252123775	2489	-3.64674624	2488	1.09048948	45	1.130661994	468	-3.375166121	2279	2.71613951	123	1.828903218	431	2384	449.5	84
SIRT1/MEF2D/HDAC4 (complex)	0.829672049	670	0.029564587	1188	0.954980068	72	-0.141508491	1479	3.574788239	266	2.706023284	125	-5.661478624	2489	468	1984	98.5
CHD8	-0.875554746	1754	-0.763169194	1878	0.682463589	168	0.258382226	1125	-3.657203962	2314	3.591888062	33	1.162964849	636	2034	880.5	100.5
NR4A1;RXRs/NUR77 (complex)	-1.501556328	2049	-3.675474957	2490	1.765972806	6	1.362502672	347	3.334669972	312	2.367806852	195	-4.890324783	2445	1180.5	1396	100.5
APC/C/HCDH1 (complex);CDC14B	1.069005482	558	-0.34849348	1532	0.807295384	108	1.001462514	532	2.2149928	618	2.924117389	96	-4.458715114	2410	588	1471	102
RNF144B	0.815019146	679	-3.051999001	2474	1.346406301	22	-0.507981463	1765	2.083153763	666	2.436297683	182	-2.9876614	2109	672.5	1937	102
PPIL2	-0.337240857	1461	-0.014776855	1223	1.075413855	48	0.6618367	778	-0.425472152	1570	2.517114434	167	-2.493655735	1972	1515.5	1375	107.5
ICOS:ICOSL (complex);ICOSLG	2.086211462	158	-0.736400701	1858	0.751627975	135	0.976894475	548	0.749529699	1160	3.025513939	84	-3.363870478	2206	659	1377	109.5
EIF2AK3	-0.59428264	1598	0.755092378	582	0.937534782	75	1.097611153	492	0.58914097	1225	2.612134847	147	-3.417402067	2219	1411.5	1355.5	111
