																DNA Finger print 1																																
Cell Line Name	tissue of origin	age	sex	prior treatment	Epithelial	histology	source	ploidy	p53	mdr	doublingtime	Institute 	Contributor	Reference	AMEL_1	AMEL_2	CSF1PO_1	CSF1PO_2	D13S317_1	D13S317_2	D16S539_1	D16S539_2	D18S51_1	D18S51_2	D19S433_1	D19S433_2	D21S11_1	D21S11_2	D2S1338_1	D2S1338_2	D3S1358_1	D3S1358_2	D5S818_1	D5S818_2	D7S820_1	D7S820_2	D8S1179_1	D8S1179_2	FGA_1	FGA_2	TH01_1	TH01_2	TPOX_1	TPOX_2	vWA_1	vWA_2	Het (%)2	
BR:BT-549	Breast	72	F	NA	yes	Papillary infiltrating ductal carcinoma-mammary gland; breast	Metastasis	3n+/-, Near-triploid 69+/- (58-80)	?	-45	53.9	?	W. Coutinho; E.Y. Lasfargues	no pub	X	X	10	10	11	11	8	8	0	0	15.2	15.2	32.2	32.2	17	17	18	18	11	11	9	9	14	16	19	19	9.3	9.3	8	8	15	15	7	
BR:HS 578T	Breast	74	F	NA	yes	Carcinosarcoma-mammary gland; breast	Primary	2n+, Hyperdiploid (47-57)	MT	NA	53.8	Naval Bioscience Laboratory	A.J. Hackett	JNCI 58: 1795-1806,1977	X	X	13	13	11	11	9	12	16	16	14	15	29	32.2	17	26	16	17	11	11	10	10	13	13	23	24	9	9.3	8	8	17	17	47	
BR:MCF7	Breast	69	F	NA	yes	Adenocarcinoma- mammary gland; breast; metastatic site: pleural effusion;	Pleural effusion	3n-, Hypotriploid (58-68)	WT	14	25.4	Michigan Cancer Foundtion	C.M. McGrath	JNCI 51: 1409-1417,1973	X	X	10	10	11	11	11	12	14	14	13	14	30	30	21	23	16	16	11	12	8	9	10	14	23	25	6	6	9	12	14	15	60	
BR:MDA-MB-231	Breast	51	F	NA	yes	Adenocarcinoma-mammary gland; breast; epithelial; metastatic site: pleural effusion;	Pleural effusion	2n+, Hyperdiploid (47-57)	MT	29	41.9	MD Anderson Hospital and Tumor Institute	R. Cailleau	JNCI 53(3): 661-674,1974	X	X	12	13	13	13	12	12	11	16	11	14	33.2	33.2	20	21	16	16	12	12	8	9	13	13	22	23	7	9.3	8	9	15	18	60	
BR:T-47D	Breast	54	F	NA	yes	infiltrating ductal carcinoma	NA	2n+, Hyperdiploid (47-57)	MT	19	45.5	?	I. Keydar	Eur J Cancer 15:659-679,1979	X	X	11	13	12	12	10	10	17	17	14	14	28	31	24	24	15	17	12	12	11	11	13	13	23	23	6	6	11	11	14	14	20	
CNS:SF-268	CNS	24	F	Rad	no	Glioblastoma, ud	NA	2n+, Hyperdiploid (47-57)	MT	-38	33.1	?	P.L.Kornblith	Acta Neuropathol 75: 92-103, 1987	X	Y	12	12	11	11	9	13	16	16	13	15.2	30	32.2	19	24	14	16	11	11	10	11	14	14	21	21	6	9	8	10	17	19	60	
CNS:SF-295	CNS	67	F	Rad	no	Glioblastoma, ud	NA	5n+/-, Near-pentaploid 115+/- (104-126)	MT	91	29.5	University of California	M.L. Rosenblum	Acta Neuropathol 75: 92-103, 1988	X	X	10	13	10	10	12	13	15	18	12	15	28	30	15	20	16	18	11	12	9	13	13	14	22	25	9.3	10	8	11	16	17	93	
CNS:SF-539	CNS	34	F	Rad/BCNU/5FU/HU/6MP	no	Glial cell neoplasm	NA	4n+/-, Near-tetraploid 92+/- (81-103)	WT	-40	35.4	University of California	M.L. Rosenblum	J Neuropathol Exp Neurol 40: 201-229, 1981	X	X	11	13	12	12	11	12	20	20	14	14	29	29	17	23	15	15	14	14	11	11	15	17	20	21	7	8	9	10	16	17	53	
CNS:SNB-19	CNS	47	M	None	no	Glioblastoma, ud	NA	3n+/-, Near-triploid 69+/- (58-80)	MT	-41	34.6	NINCDS	P.L. Kornblith	Cancer 47: 255, 1981	X	Y	12	12	10	11	12	12	0	0	13	15	29	29	22	24	16	17	11	12	10	10	13	15	21	21	9.3	9.3	8	8	16	18	47	
CNS:SNB-75	CNS	NA	F	None	no	Astrocytoma	NA	2n+, Hyperdiploid (47-57)	MT	-38	62.8	NINCDS	P.L. Kornblith	?	X	X	10	12	8	12	11	13	18	18	13	14	30	30	17	23	17	17	12	12	9	9	12	12	19	23	9	9	8	10	16	18	53	
CNS:U251	CNS	75	M	NA	no	Glioblastoma,ud	NA	2n+, Hyperdiploid (47-57)	MT	-19	23.8	University of Uppsala, Sweden	?	J Neuropathol Exp Neurol 40: 410-427, 1981	X	Y	12	13	10	11	12	12	13	13	13	15	29	29	24	24	16	17	11	11	10	12	13	15	21	25	9.3	9.3	8	8	16	18	53	
CO:COLO 205	Colon	70	M	NA	yes	Adenocarcinoma	Ascites	3n, Triploid (69)	MT	7	23.8	Denver Medical Hospital	G.E. Moore	Can Res. 38: 1345-1355, 1978	X	X	7	10	10	12	11	13	16	17	12	13	29	30	16	16	12	19	10	11	11	12	12	14	18	23	8	9	8	8	17	17	80	
CO:HCC-2998	Colon	NA	NA	NA	yes	carcinoma	NA	2n+/-, Near-diploid 46+/- (35-57)	MT	-5	31.5	MD Anderson Hospital and Tumor Institute	?	?	X	X	11	12	10	12	12	13	18	18	13	14	30.2	30.2	17	18	16	16	10	13	9	10	9	9	21	23	8	9	11	11	15	15	60	
CO:HCT-116	Colon	NA	M	NA	yes	carcinoma-vpd	NA	2n-, Hypodiploid (35-45)	?	26	17.4	Baylor College	?	Can Res 41: 1761-1756, 1981	X	X	11	13	11	12	9	12	12	15	12	15	29	30	18	23	17	19	12	12	10	11	11	14	25	25	7	9.3	8	11	18	19	87	
CO:HCT-15	Colon	NA	NA	None	yes	Adenocarcinoma p/md	NA	2n+/-, Near-diploid 46+/- (35-57)	?	414	20.6	ATCC	ATCC (D.L. Dexter, Roger Williams General Hospital)	Can Res 39: 1020-1025, 1979	X	Y	12	12	8	11	12	13	11	17	14	16	29	32.2	17	25	17	17	13	13	10	12	15	15	22	22	7	9.3	8	11	18	19	67	
CO:HT29	Colon	44	F	None	yes	Adenocarcinoma-md	Primary	3n+/-, Near-triploid 69+/- (58-80)	MT	15	19.5	Memorial Sloan Kettering Cancer Center	J. Fogh	Human Tumor Cells in vitro: 115-159, 1975	X	X	11	12	11	12	11	12	13	13	14	14	29	30	19	23	15	17	11	12	10	10	10	10	20	22	6	9	8	9	17	19	73	
CO:KM12	Colon	NA	NA	None	yes	Adenocarcinome-pd	NA	2n+/-, Near-diploid 46+/- (35-57)	MT	-19	23.7	MD Anderson Hospital and Tumor Institute	I.J. Fidler, Univ of Texas M.D. Anderson Hospital and Tumor Institute	Can Res 48: 1943-1948, 1988	X	X	10	12	12	15	11	11	13	13	11	14	27	27	0	0	14	14	10	18	8	8.3	11	13	20	22	9.3	9.3	11	12	17	19	60	
CO:SW-620	Colon	51	M	NA	yes	Carcinoma-ud	NA	2n+/-, Near-diploid 46+/- (35-57)	MT	31	20.4	Scott White Clinic	A. Leibovitz	Can Res 1976 Dec;36(12):4562-9	X	X	13	14	12	12	9	13	13	13	13	13	30	30.2	17	24	16	16	13	13	8	9	13	13	24	24	8	8	11	11	16	16	33	
LC:A549/ATCC	Non-Small Cell Lung	58	M	NA	yes	Adenocarcinoma-p/md	NA	3n+/-, Near-triploid 69+/- (58-80)	WT	10	22.9	NCI	Giard DJ	J Natl Cancer Inst. 51(5):1417-23, 1973	X	Y	10	12	11	11	11	12	14	17	13	13	29	29	24	24	16	16	11	11	8	11	13	14	23	23	8	9.3	8	11	14	14	47	
LC:EKVX	Non-Small Cell Lung	NA	M	NA	yes	Adenocarcinoma-md	NA	3n+/-, Near-triploid 69+/- (58-80)	MT	-9	43.6	Norsk Hydro's Institut, Norway	?	?	X	Y	9	9	11	11	9	11	13	16	13	13	30	31	17	19	16	18	11	12	9	12	15	15	20	21	9.3	9.3	8	11	15	15	60	
LC:HOP-62	Non-Small Cell Lung	60	F	None	yes	adenocarcinoma-ud	NA	4n+, Hypertetraploid (93-103)	MT	61	39	Johns Hopkins University	M.Liu	?	X	X	11	12	12	12	11	12	14	14	13	14	30	30	19	19	14	18	11	11	10	12	13	13	22	24	8	9	8	11	15	17	60	
LC:HOP-92	Non-Small Cell Lung	62	M	None	yes	Large cell-ud	NA	4n+/-, Near-tetraploid 92+/- (81-103)	MT	-4	79.5	Johns Hopkins University	M.Liu	?	X	X	10	10	12	12	12	12	12	18	13	13	30	30	19	23	18	18	12	12	8	10	14	14	19	21	9	9.3	8	11	15	15	40	
