A1CF	APOBEC1
A2M	APOA1
A2M	CDC42
A2M	F2
A2M	FOXO1
A2M	GAB1
A2M	GAB2
A2M	GRB2
A2M	KLKB1
A2M	MMP1
A2M	MMP10
A2M	MMP11
A2M	MMP12
A2M	MMP13
A2M	MMP19
A2M	MMP2
A2M	MMP20
A2M	MMP3
A2M	MMP7
A2M	MMP8
A2M	MMP9
A2M	PLG
A2M	PROC
A2M	PROS1
A2M	PTPN11
A2M	RAC2
A2M	RAC3
A2M	RHOA
A2M	RHOB
A2M	RHOBTB1
A2M	RHOBTB2
A2M	RHOC
A2M	RHOD
A2M	RHOF
A2M	RHOG
A2M	RHOH
A2M	RHOJ
A2M	RHOQ
A2M	RHOT1
A2M	RHOT2
A2M	RHOU
A2M	RHOV
A2M	SOS1
A2M	STAT3
A4GALT	B3GALNT1
A4GALT	GLA
A4GALT	HEXA
A4GALT	HEXB
AAAS	ALYREF
AAAS	BANF1
AAAS	CCNB1
AAAS	CCNB2
AAAS	CDC40
AAAS	CDK1
AAAS	CPSF1
AAAS	CPSF2
AAAS	CPSF3
AAAS	DDX20
AAAS	DHX38
AAAS	EIF4E
AAAS	GCK
AAAS	GCKR
AAAS	GEMIN2
AAAS	GEMIN4
AAAS	GEMIN5
AAAS	GEMIN6
AAAS	GEMIN7
AAAS	HMGA1
AAAS	KPNA1
AAAS	KPNA2
AAAS	KPNA3
AAAS	KPNA4
AAAS	KPNA5
AAAS	KPNA7
AAAS	KPNB1
AAAS	MAGOH
AAAS	NCBP1
AAAS	NCBP2
AAAS	NEK6
AAAS	NEK7
AAAS	NEK9
AAAS	NPM1
AAAS	NUP107
AAAS	NUP133
AAAS	NUP153
AAAS	NUP155
AAAS	NUP160
AAAS	NUP188
AAAS	NUP205
AAAS	NUP210
AAAS	NUP214
AAAS	NUP35
AAAS	NUP37
AAAS	NUP43
AAAS	NUP50
AAAS	NUP54
AAAS	NUP62
AAAS	NUP85
AAAS	NUP88
AAAS	NUP93
AAAS	NUP98
AAAS	NUPL1
AAAS	NUPL2
AAAS	NXF1
AAAS	PHAX
AAAS	POM121
AAAS	PSIP1
AAAS	RAE1
AAAS	RAN
AAAS	RANBP2
AAAS	RBM8A
AAAS	RNPS1
AAAS	SEH1L
AAAS	SLBP
AAAS	SMN1
AAAS	SMN2
AAAS	SNRPB
AAAS	SNRPD1
AAAS	SNRPD2
AAAS	SNRPD3
AAAS	SNRPE
AAAS	SNRPF
AAAS	SNRPG
AAAS	SNUPN
AAAS	SRRM1
AAAS	SRSF1
AAAS	SRSF11
AAAS	SRSF2
AAAS	SRSF3
AAAS	SRSF4
AAAS	SRSF5
AAAS	SRSF6
AAAS	SRSF7
AAAS	SRSF9
AAAS	TPR
AAAS	U2AF1
AAAS	U2AF2
AAAS	UPF3B
AAAS	XPO1
AACS	ACAT1
AACS	ACAT2
AACS	BDH1
AACS	BDH2
AACS	EHHADH
AACS	HADH
AACS	HMGCL
AACS	HMGCS1
AACS	HMGCS2
AACS	OXCT1
AACS	OXCT2
AADAT	AASS
AADAT	ADHFE1
AADAT	AFMID
AADAT	ALDH18A1
AADAT	ALDH4A1
AADAT	ALDH7A1
AADAT	BCAT2
AADAT	CCBL1
AADAT	CCBL2
AADAT	D2HGDH
AADAT	DLD
AADAT	DLST
AADAT	FPGS
AADAT	GLS
AADAT	GLS2
AADAT	GLUD1
AADAT	GOT2
AADAT	GPT2
AADAT	IDH2
AADAT	IDH3A
AADAT	IDH3B
AADAT	IDH3G
AADAT	KMO
AADAT	KYNU
AADAT	L2HGDH
AADAT	NAGS
AADAT	OAT
AADAT	OGDH
AADAT	OGDHL
AADAT	SLC25A11
AADAT	SLC25A12
AADAT	SLC25A13
AADAT	SLC25A21
AADAT	TMLHE
AANAT	ACLY
AANAT	ACSL1
AANAT	ACSL3
AANAT	ACSL4
AANAT	ACSL5
AANAT	ACSL6
AANAT	ACSS2
AANAT	ASMT
AANAT	DDC
AANAT	IDO1
AANAT	IDO2
AANAT	INMT
AANAT	MAOA
AANAT	MAOB
AANAT	SLC25A16
AANAT	SLC27A2
AANAT	SLC27A5
AARS	AARS2
AARS	PPA1
AARS2	PPA2
AASDHPPT	COASY
AASDHPPT	FASN
AASS	ADHFE1
AASS	ALDH18A1
AASS	ALDH7A1
AASS	BCAT2
AASS	BDH1
AASS	BTD
AASS	CYP27A1
AASS	D2HGDH
AASS	DECR1
AASS	FPGS
AASS	GLUD1
AASS	GOT2
AASS	GPT2
AASS	HIBADH
AASS	HSD17B10
AASS	IDH2
AASS	IDH3A
AASS	IDH3B
AASS	IDH3G
AASS	L2HGDH
AASS	MDH2
AASS	NAGS
AASS	ND1
AASS	ND2
AASS	ND3
AASS	ND4
AASS	ND4L
AASS	ND5
AASS	ND6
AASS	NDUFA1
AASS	NDUFA10
AASS	NDUFA11
AASS	NDUFA12
AASS	NDUFA13
AASS	NDUFA2
AASS	NDUFA3
AASS	NDUFA4
AASS	NDUFA5
AASS	NDUFA6
AASS	NDUFA7
AASS	NDUFA8
AASS	NDUFA9
AASS	NDUFAB1
AASS	NDUFB1
AASS	NDUFB10
AASS	NDUFB11
AASS	NDUFB2
AASS	NDUFB3
AASS	NDUFB4
AASS	NDUFB5
AASS	NDUFB6
AASS	NDUFB7
AASS	NDUFB8
AASS	NDUFB9
AASS	NDUFC1
AASS	NDUFC2
AASS	NDUFS1
AASS	NDUFS2
AASS	NDUFS3
AASS	NDUFS4
AASS	NDUFS5
AASS	NDUFS6
AASS	NDUFS7
AASS	NDUFS8
AASS	NDUFV1
AASS	NDUFV2
AASS	NDUFV3
AASS	OAT
AASS	SCCPDH
AASS	SLC25A11
AATF	MAGED1
AATF	NGF
AATF	NGFR
AATF	RB1
AATF	TFDP1
ABAT	ALDH1A3
