Gene regulation id	Pathway name	Pathway ID	Gene name	Entrez gene ID	Regulation	Experiment	PubMed ID
73	IL-7	NetPath_19	CD19	930	Upregulation	Non-Microarray	7561700
72	IL-7	NetPath_19	CCL8	6355	Downregulation	Microarray	11418668
76	IL-7	NetPath_19	IL2	3558	Upregulation	Non-Microarray	9326236
15768	TSH	NetPath_23	TNFAIP3	7128	Downregulation	Microarray	16381821
15761	TSH	NetPath_23	PIK3R1	5295	Downregulation	Microarray	16381821
89	IL-7	NetPath_19	IL3	3562	Upregulation	Non-Microarray	8454845
15766	TSH	NetPath_23	CRABP1	1381	Differential regulation	Microarray	16381821
91	IL-7	NetPath_19	FCER2	2208	Upregulation	Non-Microarray	8645974
120	IL-7	NetPath_19	RAG2	5897	Downregulation	Non-Microarray	7561700
119	IL-7	NetPath_19	RAG1	5896	Downregulation	Non-Microarray	7561700
118	IL-7	NetPath_19	DNTT	1791	Downregulation	Non-Microarray	7561700
116	IL-7	NetPath_19	PPBP	5473	Upregulation	Microarray	11418668
115	IL-7	NetPath_19	CXCL5	6374	Upregulation	Microarray	11418668
114	IL-7	NetPath_19	CXCL3	2921	Upregulation	Microarray	11418668
113	IL-7	NetPath_19	CXCL2	2920	Upregulation	Microarray	11418668
112	IL-7	NetPath_19	CXCL1	2919	Upregulation	Microarray	11418668
111	IL-7	NetPath_19	CCL22	6367	Upregulation	Microarray	11418668
110	IL-7	NetPath_19	CCL19	6363	Upregulation	Microarray	11418668
109	IL-7	NetPath_19	CCL17	6361	Upregulation	Microarray	11418668
108	IL-7	NetPath_19	CCL16	6360	Upregulation	Microarray	11418668
15507	IL-7	NetPath_19	IL8	3576	Upregulation	Non-Microarray	1517567
15865	TSH	NetPath_23	CAMKK2	10645	Downregulation	Microarray	16381821
126	IL-7	NetPath_19	CXCL10	3627	Downregulation	Microarray	11418668
127	IL-7	NetPath_19	CXCL11	6373	Downregulation	Microarray	11418668
128	IL-7	NetPath_19	CXCL12	6387	Downregulation	Microarray	11418668
129	IL-7	NetPath_19	IL8	3576	Downregulation	Microarray	11418668
130	IL-7	NetPath_19	CCL13	6357	Downregulation	Microarray	11418668
15765	TSH	NetPath_23	PTPRF	5792	Downregulation	Microarray	16381821
140	IL-7	NetPath_19	BRAF	673	Upregulation	Microarray	16162475
141	IL-7	NetPath_19	JUN	24516	Upregulation	Microarray	16162475
142	IL-7	NetPath_19	CASP10	843	Upregulation	Microarray	16162475
143	IL-7	NetPath_19	PCTK3	5129	Upregulation	Microarray	16162475
144	IL-7	NetPath_19	FASTK	10922	Upregulation	Microarray	16162475
145	IL-7	NetPath_19	TRAF3	7187	Upregulation	Microarray	16162475
146	IL-7	NetPath_19	GSTA2	2939	Upregulation	Microarray	16162475
147	IL-7	NetPath_19	CDKN2D	1032	Upregulation	Microarray	16162475
148	IL-7	NetPath_19	LITAF	9516	Upregulation	Microarray	16162475
149	IL-7	NetPath_19	RBBP4	5928	Upregulation	Microarray	16162475
150	IL-7	NetPath_19	UBC	7316	Upregulation	Microarray	16162475
15762	TSH	NetPath_23	PKM2	5315	Differential regulation	Microarray	16381821
153	IL-7	NetPath_19	IL24	11009	Upregulation	Microarray	16000394
15763	TSH	NetPath_23	RRAD	6236	Differential regulation	Microarray	16381821
15654	TSLP	NetPath_24	PSME1	5720	Upregulation	Microarray	15746263
15650	TSLP	NetPath_24	CCR5	1234	Upregulation	Microarray	15746263
15648	TSLP	NetPath_24	KYNU	8942	Upregulation	Microarray	15746263
15644	TSH	NetPath_23	SLC5A5	6528	Downregulation	Non-Microarray	15687339
15643	TSH	NetPath_23	SLC26A4	5172	Downregulation	Non-Microarray	15687339
15642	TSH	NetPath_23	CAV1	857	Downregulation	Non-Microarray	17202321
15638	Leptin	NetPath_22	GHSR	2693	Upregulation	Non-Microarray	15232612
15651	TSLP	NetPath_24	CXCL10	3627	Upregulation	Microarray	15746263
15649	TSLP	NetPath_24	BCL3	602	Upregulation	Microarray	15746263
15647	TSLP	NetPath_24	IDO1	3620	Upregulation	Microarray	15746263
15646	TSH	NetPath_23	ID1	3397	Upregulation	Non-Microarray	12947323
15641	Leptin	NetPath_22	EDN1	1906	Upregulation	Non-Microarray	11934840
15639	Leptin	NetPath_22	IL1B	3553	Upregulation	Non-Microarray	15232612
15637	TSH	NetPath_23	HES1	3280	Upregulation	Non-Microarray	18664540
