Gene,sgRNAs included,KBM7 CS,KBM7 adjusted p-value,K562 CS,K562 adjusted p-value,Jiyoye CS,Jiyoye adjusted p-value,Raji CS,Raji adjusted p-value
A1BG,9,0.136,0.6259494932,-0.220,0.9519883685,0.096,0.6308998022,-0.191,0.670542296
A1CF,7,-0.058,0.7422938965,-0.984,0.1003742653,0.217,0.3862470183,-0.222,0.8973051847
A2M,10,-0.100,0.8739287881,-0.520,0.837711758,0.220,0.2204488741,-0.305,0.8831795901
A2ML1,10,-0.403,0.4612678897,-0.646,0.5790335117,-0.385,0.6515634479,-0.439,0.9665378958
A4GALT,10,-0.103,0.9949640242,-0.582,0.6956754856,0.015,0.2522699132,-0.488,0.5380368483
A4GNT,9,0.078,0.6607653973,0.028,0.6121882128,-0.134,0.9999813664,-0.064,0.9554801326
AAAS,9,-1.037,0.4007669192,-1.910,0.048685567,-0.767,0.4565658851,-0.349,0.7358467108
AACS,8,0.139,0.5529351279,-0.152,0.7926575262,0.245,0.4694686458,0.350,0.1240701902
AADAC,10,0.060,0.5644929456,0.261,0.1497860425,0.338,0.4652518903,-0.022,0.8663122053
AADACL2,10,0.477,0.0817373673,0.599,0.0020977098,0.133,0.6170762333,0.242,0.6018253617
AADACL3,10,0.043,0.8340100254,-0.136,0.9325208388,-0.074,0.7599956822,-0.147,0.9638316377
AADACL4,10,0.106,0.4205574651,-0.495,0.4416918938,0.162,0.7970912168,0.102,0.795652226
AADAT,10,0.150,0.5669662959,0.673,0.0016443555,0.167,0.5742388609,0.445,0.0957271195
AAED1,8,-0.317,0.8732275018,-0.039,0.9388698874,-0.178,0.9280856402,0.152,0.3110597166
AAGAB,9,-0.866,0.155128098,-0.474,0.7612860885,-0.089,0.9750332883,-0.663,0.1788821048
AAK1,10,-0.191,0.7678880819,-0.770,0.7850966547,-0.033,0.6766685115,-0.130,0.8815732434
AAMDC,10,-0.330,0.2641843024,-0.394,0.9349780706,-0.133,0.9267291462,-0.083,0.8192658997
AAMP,9,-2.353,0.0002172687,-2.794,0.0067637301,-2.376,0.0005227263,-1.941,0.0010553279
AANAT,9,-0.022,0.8340100254,-0.747,0.647907644,0.114,0.7751306879,-0.107,0.9955589765
AAR2,9,-0.516,0.4693611944,-0.234,0.8539594735,-0.265,0.5517496413,0.163,0.3567779543
AARD,10,-0.116,0.9948210434,0.245,0.2897965321,0.378,0.2596757615,0.359,0.1992387826
AARS,10,-2.346,0.0004864983,-2.924,0.0035088453,-2.777,0.0001037555,-1.890,0.0003109657
AARS2,9,-1.618,0.0616864801,-1.526,0.0121989793,-0.993,0.0104509677,-0.757,0.0203137964
AARSD1,9,-0.433,0.4324049222,-0.470,0.8631454577,-0.282,0.9132757396,-0.344,0.8535378957
AASDH,9,-0.213,0.4874171878,0.578,0.1433819595,-0.146,0.9957361334,0.356,0.4649189794
AASDHPPT,9,-1.754,0.0076495899,-0.763,0.1613339101,-1.420,0.026016513,-0.161,0.6629753583
AASS,10,0.174,0.3860814633,0.051,0.2409452267,0.263,0.4557810114,0.235,0.1616165257
AATF,10,-1.343,0.0060690001,-1.393,0.0434891057,-1.719,0.003438071,-1.380,0.0001976091
AATK,10,-0.239,0.8198075933,-0.460,0.375765046,-0.080,0.7341715886,-0.288,0.8990167785
ABAT,10,0.064,0.4075227245,-0.171,0.511945973,0.107,0.7398689072,0.011,0.7769713812
ABCA1,8,-0.212,0.7358576649,0.122,0.5476385887,0.044,0.9471461433,0.087,0.9204193503
ABCA10,9,0.029,0.588066511,0.475,0.093500366,0.218,0.769089978,0.456,0.0414770535
ABCA12,10,0.047,0.2908922897,0.023,0.9212569426,-0.056,0.9260480109,0.420,0.0615222445
ABCA13,10,-0.194,0.5177604718,-0.036,0.3388688501,-0.199,0.9166538128,0.026,0.9606126916
ABCA2,10,-0.028,0.7444905804,-0.346,0.8157015203,-0.049,0.2220343278,-0.018,0.9990904216
ABCA3,8,-0.681,0.4378010599,-0.189,0.6939737467,-0.390,0.9584448211,0.038,0.9674659438
ABCA4,10,-0.237,0.8051234291,0.107,0.3537454323,0.052,0.9654440451,0.044,0.6363009587
ABCA5,9,0.061,0.50983369,-0.086,0.4906301192,0.105,0.8328599558,0.131,0.9353501301
ABCA6,9,-0.206,0.2197377988,-0.140,0.7638474814,0.122,0.9408457093,0.143,0.459473194
ABCA7,10,-0.405,0.8242639162,-0.461,0.9085540006,-0.414,0.7680077114,-0.119,0.9823127609
ABCA8,9,-0.228,0.9479697429,-0.623,0.7691150278,-0.179,0.9284160269,-0.171,0.7136174409
ABCA9,10,-0.030,0.8584797826,0.064,0.6112717144,0.140,0.7318765974,0.149,0.597006468
ABCB1,10,0.002,0.8252566289,-0.237,0.6894583168,0.075,0.9710201507,0.007,0.9638316377
ABCB10,10,-0.321,0.7229927141,-0.313,0.8351314938,-0.730,0.111948864,-0.671,0.4113571389
ABCB11,10,0.083,0.6585361823,-0.437,0.1453334002,0.208,0.7749629542,0.034,0.7191954884
ABCB4,10,0.074,0.3843155721,-0.441,0.5790335117,0.013,0.897696761,-0.320,0.6370357073
ABCB5,10,0.322,0.0305947129,0.348,0.105593162,0.128,0.8998235822,0.018,0.3851315519
ABCB6,8,0.288,0.2069365338,0.304,0.431957822,-0.069,0.9946734572,0.114,0.7754274829
