cellline	ID	chrom	loc.start	loc.end	num.mark	seg.mean
600MPE	X080122_SNP6.0_600MPE_C01	1	51599	88452	17	0.65
600MPE	X080122_SNP6.0_600MPE_C01	1	88466	1500664	221	-0.0082
600MPE	X080122_SNP6.0_600MPE_C01	1	1617779	1653197	16	-0.7739
600MPE	X080122_SNP6.0_600MPE_C01	1	1653257	16429297	8644	0.0049
600MPE	X080122_SNP6.0_600MPE_C01	1	16432078	16717520	135	-0.7232
600MPE	X080122_SNP6.0_600MPE_C01	1	16718622	17134835	191	-0.2684
600MPE	X080122_SNP6.0_600MPE_C01	1	17148829	20182367	2248	-0.7303
600MPE	X080122_SNP6.0_600MPE_C01	1	20186357	20314641	81	0.0322
600MPE	X080122_SNP6.0_600MPE_C01	1	20314860	25455929	3111	-0.7457
600MPE	X080122_SNP6.0_600MPE_C01	1	25465716	25519574	30	-2.0649
600MPE	X080122_SNP6.0_600MPE_C01	1	25534089	26142675	274	-0.7481
600MPE	X080122_SNP6.0_600MPE_C01	1	26147815	26418251	141	-0.0096
600MPE	X080122_SNP6.0_600MPE_C01	1	26419903	28931949	1028	-0.7328
600MPE	X080122_SNP6.0_600MPE_C01	1	28932692	29583858	304	0.031
600MPE	X080122_SNP6.0_600MPE_C01	1	29589364	29599463	4	1.7935
600MPE	X080122_SNP6.0_600MPE_C01	1	29610023	55349544	15127	0.0293
600MPE	X080122_SNP6.0_600MPE_C01	1	55349604	63059885	5983	0.0751
600MPE	X080122_SNP6.0_600MPE_C01	1	63060439	63061446	2	2.7174
600MPE	X080122_SNP6.0_600MPE_C01	1	63062640	63540185	378	0.0505
600MPE	X080122_SNP6.0_600MPE_C01	1	63540223	63540682	2	2.7083
600MPE	X080122_SNP6.0_600MPE_C01	1	63542033	70052857	4750	0.0493
600MPE	X080122_SNP6.0_600MPE_C01	1	70067840	70068489	2	-2.4012
600MPE	X080122_SNP6.0_600MPE_C01	1	70069236	72535959	1521	0.0552
600MPE	X080122_SNP6.0_600MPE_C01	1	72541007	72583737	36	-0.7613
600MPE	X080122_SNP6.0_600MPE_C01	1	72584492	95447298	15257	0.0584
600MPE	X080122_SNP6.0_600MPE_C01	1	95449100	95449106	2	-3.0754
600MPE	X080122_SNP6.0_600MPE_C01	1	95452270	98004503	1599	0.0587
600MPE	X080122_SNP6.0_600MPE_C01	1	98006118	98007553	2	2.4393
600MPE	X080122_SNP6.0_600MPE_C01	1	98007580	101046159	1923	0.0552
600MPE	X080122_SNP6.0_600MPE_C01	1	101046857	101047369	2	-2.3489
600MPE	X080122_SNP6.0_600MPE_C01	1	101047606	105218511	2376	-9e-04
