#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
IKZF3	FOLFIRI	998046	-156842117	ENSP00000418684	56842117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.394	0.393
IKZF3	HRAS	998046	983455	ENSP00000418684	ENSP00000309845	0.000	0.000	0.000	0.000	0.000	0.621	0.900	0.000	0.959
STAT5A	FOLFIRI	987055	-156842117	ENSP00000341208	56842117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.264	0.264
HRAS	KRAS	983455	978165	ENSP00000309845	ENSP00000256078	0.000	0.000	0.507	0.968	0.000	0.000	0.900	0.820	0.904
STAT5B	IFNA1	981411	980447	ENSP00000293328	ENSP00000276927	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.188	0.188
IFNA1	KRAS	980447	978165	ENSP00000276927	ENSP00000256078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.426	0.425
STAT5A	IFNA1	987055	980447	ENSP00000341208	ENSP00000276927	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.151	0.151
STAT5A	HRAS	987055	983455	ENSP00000341208	ENSP00000309845	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.217	0.217
NRAS	TYMS	989936	984083	ENSP00000358548	ENSP00000315644	0.000	0.000	0.000	0.000	0.282	0.000	0.000	0.341	0.495
NRAS	KRAS	989936	978165	ENSP00000358548	ENSP00000256078	0.000	0.000	0.510	0.968	0.000	0.000	0.900	0.565	0.903
EGFR	FOLFIRI	980366	-156842117	ENSP00000275493	56842117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.391	0.391
DPYD	NRAS	990069	989936	ENSP00000359211	ENSP00000358548	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.229	0.229
NRAS	HRAS	989936	983455	ENSP00000358548	ENSP00000309845	0.000	0.000	0.522	0.968	0.000	0.000	0.900	0.622	0.903
KRAS	FOLFIRI	978165	-156842117	ENSP00000256078	56842117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.394	0.393
TYMS	HRAS	984083	983455	ENSP00000315644	ENSP00000309845	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.379	0.379
STAT5B	EGFR	981411	980366	ENSP00000293328	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.848	0.800	0.878	0.995
TYMS	EGFR	984083	980366	ENSP00000315644	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.516	0.516
TYMS	IFNA1	984083	980447	ENSP00000315644	ENSP00000276927	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.300	0.299
HRAS	IFNA1	983455	980447	ENSP00000309845	ENSP00000276927	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.243	0.243
DPYD	HRAS	990069	983455	ENSP00000359211	ENSP00000309845	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.250	0.249
HRAS	STAT5B	983455	981411	ENSP00000309845	ENSP00000293328	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.203	0.202
TYMS	FOLFIRI	984083	-156842117	ENSP00000315644	56842117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.257	0.257
TYMS	KRAS	984083	978165	ENSP00000315644	ENSP00000256078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.374	0.374
NRAS	STAT5A	989936	987055	ENSP00000358548	ENSP00000341208	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.215	0.216
DPYD	FOLFIRI	990069	-156842117	ENSP00000359211	56842117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.257	0.257
EGFR	KRAS	980366	978165	ENSP00000275493	ENSP00000256078	0.000	0.000	0.000	0.000	0.000	0.272	0.900	0.852	0.987
DPYD	TYMS	990069	984083	ENSP00000359211	ENSP00000315644	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.860	0.864
IFNA1	FOLFIRI	980447	-156842117	ENSP00000276927	56842117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.399	0.399
DPYD	IFNA1	990069	980447	ENSP00000359211	ENSP00000276927	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.218	0.218
IFNA1	EGFR	980447	980366	ENSP00000276927	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.867	0.867
IKZF3	NRAS	998046	989936	ENSP00000418684	ENSP00000358548	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
NRAS	FOLFIRI	989936	-156842117	ENSP00000358548	56842117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.399	0.399
STAT5B	KRAS	981411	978165	ENSP00000293328	ENSP00000256078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.176	0.177
STAT5A	EGFR	987055	980366	ENSP00000341208	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.625	0.800	0.600	0.965
HRAS	EGFR	983455	980366	ENSP00000309845	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.272	0.900	0.852	0.987
STAT5A	STAT5B	987055	981411	ENSP00000341208	ENSP00000293328	0.000	0.000	0.000	0.972	0.237	0.621	0.000	0.970	0.699
HRAS	FOLFIRI	983455	-156842117	ENSP00000309845	56842117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.338	0.338
NRAS	IFNA1	989936	980447	ENSP00000358548	ENSP00000276927	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.203	0.202
